"ID","Bcells_EPIC","CAFs_EPIC","CD4_Tcells_EPIC","CD8_Tcells_EPIC","Endothelial_EPIC","Macrophages_EPIC","NKcells_EPIC","otherCells_EPIC","T_cells_MCPcounter","CD8_T_cells_MCPcounter","Cytotoxic_lymphocytes_MCPcounter","B_lineage_MCPcounter","NK_cells_MCPcounter","Monocytic_lineage_MCPcounter","Myeloid_dendritic_cells_MCPcounter","Neutrophils_MCPcounter","Endothelial_cells_MCPcounter","Fibroblasts_MCPcounter","StromalScore_estimate","ImmuneScore_estimate","ESTIMATEScore_estimate","TumorPurity_estimate","MHC_IPS","EC_IPS","SC_IPS","CP_IPS","AZ_IPS","IPS_IPS"
"TP0007_CD8_LTBI",2.85756364493819e-07,1.34637488665377e-05,8.84588197776962e-09,0.835701556036241,1.27898710976418e-08,1.69203930685279e-09,0.164283049893489,1.62123724701477e-06,2740.71428571429,21803,9017.42857142857,45.875,446.625,17.2857142857143,0,100.866666666667,1.78787878787879,122,-2023.02486790126,3669.62867269406,1646.6038047928,0.662466608845115,2.21507306524591,0.93638501111601,-0.648185020728636,-0.0905190677024124,2.41275398793087,8
"TU0146_CD8_HC",1.55657359552986e-08,6.53124256634288e-06,1.80607867539344e-06,0.93027991555007,3.14198591541235e-09,2.94348711278295e-09,0.0697098378122657,1.88766521370757e-06,2806.07142857143,24705,6673.85714285714,55,288.125,10,4.6,63.8666666666667,1.75757575757576,138.875,-2065.71073293539,3606.5236766527,1540.81294371731,0.674018811980531,2.16545931571813,0.886119085842663,-0.553210236098725,-0.25164576148228,2.24672240397978,7
"XT0103_CD8_HC",8.19504850632992e-07,8.69085415798828e-07,4.65100884151218e-06,0.707639571559808,6.15883685955728e-07,1.73337335531176e-07,0.292353005786447,2.93833615594135e-07,2112.28571428571,16392,11073.5714285714,24.75,366.875,53.1428571428571,3.2,71.5333333333333,1.81818181818182,112,-1967.44381532321,3715.21649878766,1747.77268346445,0.651269649616571,2.25407857933857,0.916561611909365,-0.612293645791177,-0.258662002455727,2.29968454300104,8
"TP0013_CD8_LTBI",1.33184528309905e-09,2.6355739925584e-07,0.00694689013355925,0.971999077776173,4.2333370858723e-07,7.75333600260939e-10,0.0210533423159919,7.75989500067323e-10,3312.07142857143,17360,7369.71428571429,70.125,843.375,58.8571428571429,0,91.4666666666667,4,43.375,-1901.19443945593,3724.03521089914,1822.84077144321,0.642868457426042,2.05662071956581,0.955720226657037,-0.572766718204574,-0.163441426897661,2.27613280112062,8
"TU0005_CD8_LTBI",4.84849803967116e-06,3.0527542736045e-05,1.31255356340972e-05,0.939283493212729,3.94426478505879e-06,9.02476120238606e-06,0.0606535171805968,1.51900427656659e-06,4183.07142857143,26390,10465.1428571429,43.375,446.375,66.2857142857143,1.8,97.2666666666667,2.12121212121212,59.875,-1790.74233686088,3727.95913326081,1937.21679639993,0.629918422533169,2.1686362150818,0.933847572654376,-0.686840309796149,0.0786206787942468,2.49426415673427,8
"TU0010_CD8_LTBI",1.46205880441453e-07,4.1509255762791e-09,1.27889038719896e-08,0.936569123519404,4.72260084962e-06,7.39164884704247e-13,0.0634250695309537,9.21202343131869e-07,3889.35714285714,20503,9689,53.375,482.125,75.1428571428571,0.4,110.6,3.54545454545455,88.125,-1815.91260303825,3723.96123608285,1908.0486330446,0.63323795133464,2.0404180647107,0.892330807608951,-0.648046475060902,0.0739607173789405,2.35866311463769,8
"TU0013_CD8_LTBI",2.97142455584471e-07,2.05133357958445e-09,5.03523096940293e-09,0.941339454592447,1.30378057839086e-06,5.04297434420805e-08,0.0586588859463772,1.02183404214831e-09,3790.64285714286,17331,9291.28571428571,96.25,1912.375,64.5714285714286,0.6,117.533333333333,4.78787878787879,108.5,-1910.06755907975,3826.47444524995,1916.4068861702,0.632287911104032,2.05859268023956,0.923041673594425,-0.68528701122023,-0.0339229027029157,2.26242443991084,8
"TU0021_CD8_LTBI",5.5308006503308e-09,9.90821708446829e-06,1.62492432117144e-08,0.894153048160372,2.36027897101524e-09,1.9042964937443e-07,0.105836827088016,1.96455490282884e-09,3071.5,19398,10634.5714285714,99,707,32.7142857142857,0.2,105.933333333333,6.48484848484848,202.625,-1967.05461831816,3564.39791092109,1597.34329260293,0.667865827195181,2.06445785985092,0.909083380889594,-0.485258723342442,-0.017403985548642,2.47087853184943,8
"TU0022_CD8_LTBI",6.51869986514005e-05,3.17211696124968e-07,1.05423325039729e-06,0.814458008263887,7.50231868918962e-05,1.46528164280777e-07,0.185400068805153,1.94772305456322e-07,3988.28571428571,22870,15421.5714285714,114.875,706.25,43.5714285714286,3,94.4,3.84848484848485,93.875,-1955.59449048786,3701.59361269665,1745.99912220879,0.651467184261779,2.02735813931603,0.914800689427239,-0.641218159882817,-0.0586856851262941,2.24225498373416,7
"TU0024_CD8_LTBI",1.68578343663958e-05,2.51235714702783e-08,0.0559871633266316,0.641968779312538,1.08055966318763e-08,5.99071822502026e-10,0.302027162810809,1.87415632497641e-10,2617.92857142857,10555,13188.5714285714,13.375,414.625,49.2857142857143,0,61.5333333333333,3.42424242424242,60.75,-1929.84397976878,3699.73309338239,1769.88911361361,0.64880267619008,2.17813758758247,0.934147916276291,-0.46866170033771,-0.140001653791884,2.50362214972917,8
"TU0033_CD8_LTBI",2.95259908477398e-06,5.16600783244177e-06,1.95340036968735e-05,0.943275395506055,1.64179486389787e-06,6.78525875437905e-07,0.0566940995262987,5.32036292842372e-07,3636.57142857143,21400,9400.71428571429,74.375,825.75,77.8571428571429,0,129.2,2.06060606060606,114.75,-1988.61071382856,3716.91042693999,1728.29971311143,0.653436077266389,2.14354548472353,0.93386751144034,-0.569931732890625,0.0544870180409054,2.56196828131415,9
"TU0035_CD8_LTBI",1.2091780163936e-07,2.99053424582618e-07,0.072799912706517,0.787321072582287,1.20770094863115e-07,2.08207288083484e-10,0.139878141122588,3.32639079462403e-07,3509,15193,12144.7142857143,85.75,675,90.2857142857143,2,126.933333333333,4.63636363636364,128.625,-1711.94423055151,3799.65725175418,2087.71302120267,0.6126088163379,2.08974736280585,0.921298169054402,-0.621925737249627,-0.177790597388828,2.21132919722179,7
"TU0046_CD8_LTBI",0.00022195184732363,2.67443971768781e-06,2.49371549565839e-05,0.818224876373121,0.000245484741468402,0.000211843706233475,0.18106664635392,1.58538325913023e-06,3249,15545,12636.8571428571,50.125,516.125,61.5714285714286,0,105.666666666667,8.03030303030303,60.375,-1891.65251022542,3708.69024649226,1817.03773626685,0.643520696959293,2.14530799480072,0.923069845558448,-0.563191747399389,-0.0685343665915541,2.43665172636823,8
"TU0050_CD8_HC",1.12016215206182e-09,1.51188016812772e-09,0.000243606454241256,0.982016586209517,5.04754584589127e-08,1.36711102251988e-09,0.0177396867945322,6.60670973639967e-08,3407.07142857143,22273,6068,114.5,362.875,24,0,87.5333333333333,2.78787878787879,69.875,-2140.48667729204,3576.42160045671,1435.93492316467,0.685310906196522,2.01314620204678,0.894999736618944,-0.535031234437525,-0.145250592743,2.22786411148519,7
"TU0052_CD8_HC",4.05203893842072e-08,7.96487225701151e-11,1.01377675583041e-07,0.83447612431088,6.47481046282736e-08,1.02788762321012e-08,0.165523586872164,7.18122616722448e-08,3675.85714285714,15303,15146,180.875,681,84.1428571428571,3.6,135.533333333333,3.03030303030303,220.125,-1680.99317701823,3890.96174622082,2209.96856920259,0.598326903823106,2.00915376998319,0.889145543297056,-0.731877142756582,-0.221533506996578,1.94488866352709,6
"TU0053_CD8_HC",1.90891778873759e-07,4.43228251970408e-08,0.0006206717262588,0.881875882788346,3.71327566481527e-06,3.3702290981614e-10,0.117499312050654,1.84607449543407e-07,3858.64285714286,17915,11398,59.625,344.375,52.5714285714286,0,110.866666666667,4.24242424242424,129.125,-2024.15909027736,3668.84376942405,1644.6846791467,0.662677605648594,2.01361170869125,0.925942123028997,-0.576277128214524,0.0117160303791321,2.37499273388486,8
