"","TP0003_CD8_LTBI","TP0004_CD8_LTBI","TP0005_CD8_LTBI","TP0008_CD8_LTBI","TP0015_CD8_LTBI","TU0084_CD8_HC","XT0101_CD8_HC","TU0079_CD8_HC","TU0119_CD8_HC","TP0001_CD8_LTBI","TP0007_CD8_LTBI","TU0146_CD8_HC","XT0103_CD8_HC","TP0013_CD8_LTBI","TU0005_CD8_LTBI","TU0010_CD8_LTBI","TU0013_CD8_LTBI","TU0021_CD8_LTBI","TU0022_CD8_LTBI","TU0024_CD8_LTBI","TU0033_CD8_LTBI","TU0035_CD8_LTBI","TU0046_CD8_LTBI","TU0050_CD8_HC","TU0052_CD8_HC","TU0053_CD8_HC","TU0056_CD8_HC","TU0057_CD8_HC","TU0059_CD8_HC","TU0063_CD8_LTBI","TU0070_CD8_LTBI","TU0071_CD8_HC","TU0075_CD8_LTBI","TU0085_CD8_HC","TU0094_CD8_HC","TU0110_CD8_HC","XT0082_CD8_HC","XT0106_CD8_HC","XT0123_CD8_HC","XT0134_CD8_LTBI"
"MUC5B",0.0317449914815276,0.0279837522616324,0,0,0.00924061473921776,0.0182614590235456,0.0253358452241869,0.0432104490838934,0.0272908709316116,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304831768433184,0,0.0171517492641086,0,0,0,0.0559080718309992,0.137032933972509,0,0,0,0,0,0,0,0,0,0
"MUC6",0.141862410784841,0.166738851216932,0.0782793952127319,0,0,0,0,0.0643664632020637,0.0304894454376307,0,0,0,0,0,0,0,0,0.038309417594657,0.0176375573526992,0,0,0,0,0,0.383239746843126,0.115527577118376,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MUC7",0,0,0,0,0,0,0,0.57456744880595,0.0907213788522821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MUCL1",0,1.72239514349862,0,0,0.682509899357235,0.337196899557448,0,0.53191914332757,1.00784905001257,0,0,0,0,0,0,1.34534681219174,1.67292114967471,4.4322021444771,0,0,0,2.74321400725247,0.341133508554,1.3147715148255,0,0.954710369258665,0,0,2.06467932900006,2.84659432003022,0,0,0,0,2.44769984804457,0,0,0,0,0
"MUL1",34.7558841597336,28.8294181070666,24.1059665492034,22.4312850446272,22.9214463573532,28.2199773914888,50.7823300921234,38.6847976778203,27.2337434319697,57.5424990269486,39.8545407199017,115.297793121454,55.0170478045162,33.9488330673739,72.4393004400331,72.0837764271918,52.8512061774503,53.9188770227577,60.3610782267802,31.9477113627424,70.6142067799604,74.731278027655,35.2917330801089,50.2964984899836,82.0093526350633,66.5338801218798,51.3986832591964,31.1518450221339,48.5647723523525,47.3239131066894,45.1623197993219,35.8996735047751,79.4251086187856,64.1808436729882,46.4336019747756,39.9795580132369,74.6896745390736,91.2379203817276,76.7293125778265,71.2984554994772
"MUS81",29.9619332791251,20.687912728798,32.4474763922627,15.12911557293,32.9865936662387,15.5292366907492,15.7840112629708,19.2027436125108,16.321896267334,38.2466083625106,40.6341847877666,16.275652670592,21.4317086277929,37.542942624163,31.5581558793539,30.5253342352341,27.3748088648511,22.7512368961593,35.8497248521404,24.3597826563589,27.8759090827521,27.9644258215096,25.608744168232,38.9806888554199,34.4603848330079,31.4595053967542,25.9650959603551,22.2091801115702,23.3362625376893,41.6713905125661,43.524215890079,23.5671087773521,28.2971219575325,23.6001116672859,30.4378317501433,25.6505531442133,24.810839125089,27.8459259083152,16.8912740848905,25.7273712857574
"MUSK",0,0,0,0,0,0,0,0.0571069805232698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MUSTN1",9.24085776408787,11.500198548943,8.39849603093081,2.40564962869345,15.1900864790023,6.87933253972843,3.90450565420048,7.39906647745329,5.60772607177166,4.40636695993591,6.55769466990813,1.5036875629594,4.06251482197564,10.6747504494431,9.01972338161809,9.04507787451093,4.03356323086006,6.16525250498487,7.5692437336494,9.99320440869721,4.91342845464005,3.9975544192002,1.89808510495629,13.106864216867,6.46129023281826,7.08274614287499,3.07321058108899,6.59928611655875,2.5528858497515,4.98622693194162,7.99365478283595,4.09773620537297,12.7615553634054,8.17215290868214,13.6191329977241,10.9744048737204,2.27314093322597,6.71681718431027,3.79698581201292,3.26620679445518
"MUTYH",16.875796921309,20.2641951457564,18.206214589774,12.5158904279529,19.8855998573426,8.40105289137134,15.47601132858,14.3568073573644,15.0659626825509,29.0321161649691,23.2462228648962,12.6807122265036,17.4497739168048,26.0237661499122,14.0909152699399,14.2453567635115,28.9443049940152,9.68414846004113,22.1112150505428,34.6043222070116,21.6343695526296,21.2087976298647,20.9173059304708,27.9796998847443,21.6989819676623,18.8085753350098,19.3673855557339,12.4602017645111,20.623714920408,17.467614784394,10.7791936336097,27.2406081950831,19.7168825842927,22.4638972042477,22.5540053268327,17.0254558936265,12.9493564568909,19.3120600785013,22.6692189461502,20.3290612445641
"MVD",43.777845103273,27.4320985331426,35.4101709476221,26.8437471090478,49.3608823432399,29.2795137134276,25.2573464087427,25.4869698986339,22.1051307757279,76.6547853076686,46.3308276194536,35.5643729379439,47.0840526857402,63.4419827847581,63.8164952460262,61.4360484203795,55.9978541418018,38.3148192936128,34.099713851764,78.5421369880594,69.6512952649948,58.9767381966057,80.8831346186081,45.3995604591704,66.2571039876133,50.8278471945302,81.7560490192082,71.5578714107245,47.2198036088951,44.7534681632663,62.1177958603441,67.8230313760783,27.6938165474753,45.1820051845373,49.0050853157903,95.0309916831094,67.2727413661484,95.3603083386005,43.876351650943,56.5711258626643
