"ID","B_cells_naive_CIBERSORT","B_cells_memory_CIBERSORT","Plasma_cells_CIBERSORT","T_cells_CD8_CIBERSORT","T_cells_CD4_naive_CIBERSORT","T_cells_CD4_memory_resting_CIBERSORT","T_cells_CD4_memory_activated_CIBERSORT","T_cells_follicular_helper_CIBERSORT","T_cells_regulatory_(Tregs)_CIBERSORT","T_cells_gamma_delta_CIBERSORT","NK_cells_resting_CIBERSORT","NK_cells_activated_CIBERSORT","Monocytes_CIBERSORT","Macrophages_M0_CIBERSORT","Macrophages_M1_CIBERSORT","Macrophages_M2_CIBERSORT","Dendritic_cells_resting_CIBERSORT","Dendritic_cells_activated_CIBERSORT","Mast_cells_resting_CIBERSORT","Mast_cells_activated_CIBERSORT","Eosinophils_CIBERSORT","Neutrophils_CIBERSORT","P-value_CIBERSORT","Correlation_CIBERSORT","RMSE_CIBERSORT"
"TU0053_CD8_HC",0,0,0,0.711029041089985,0,0,0.0538386679491386,0.0126499327989674,0,0.194352970155419,0,0.0199491016653243,0,0.000998561624533815,0,0,0.0026123730858203,0,0.00324687859197059,0,9.54579159016525e-05,0.00122701512293925,0,0.693856722375504,0.728122273073222
"TU0056_CD8_HC",0.00376753203882296,0,0.000543212147345447,0.631681518698802,0,0.0157894585594138,0.0129487212033721,0.0246698427037092,0,0.230820652555378,0,0.0449053183482903,0,0.0123031171815981,0,0,0.00124241678074308,0,0.0211058112756933,0,0,0.000222398506831995,0,0.716362310470997,0.702086727908333
"TU0057_CD8_HC",0.0120345843922525,0,0.000242069978140239,0.688511313131551,0,0,0.0832420340180718,0.0184920705676577,0,0.150918926454071,0,0.0372505257489905,0,0.000297133665862756,0,0.0023142889806606,0.00493022380247271,0,0,0,0,0.00176682926026928,0,0.643911957741831,0.775778232806039
"TU0059_CD8_HC",0.00745625041858037,0,0,0.710681717063444,0,0,0.0414656312648711,0.00939890582143187,0,0.19040767020133,0,0.0146504686376029,0,0.00977889688742506,0,0.00164675151358519,0,0,0.0134352775573816,0,0.00107843063434825,0,0,0.712550435726118,0.705725652036583
"TU0063_CD8_LTBI",0,0,0,0.574988258684326,0,0,0.0499686680130023,0.0187398240083876,0,0.302184301691741,0,0.0382311423442438,0,0.00478023555232898,0,0,0,0,0.00436551757523579,0,0.00491219966192681,0.00182985246880796,0,0.729501624294916,0.688302189137238
"TU0070_CD8_LTBI",0.003597590747277,0,0,0.724562157197141,0,0,0.0479859382071193,0.0213447900148256,0,0.148882964627673,0,0.0196019569368083,0,0.0100195473731964,0,0.00278674160877457,0,0,0.0183730632498953,0,0.00229965477419893,0.000545595263090131,0,0.711063508318046,0.705950070954871
"TU0071_CD8_HC",0,0,0,0.550118457162706,0,0.0302906773017214,0.00947554293449261,0.0189777878231898,0,0.292462609043808,0,0.0629148856708045,0,0.0135070266365878,0,0,0.000100734864636877,0.0024145338077177,0.0194339822988293,0,0,0.000303762455505864,0,0.760223117244601,0.651576724202167
"TU0075_CD8_LTBI",0,0,0,0.517892003103855,0,0.120604578418411,0,0.0132351447074198,0,0.256319922317081,0,0.0594021189044651,0,0.0114376982874909,0,0,0,0,0.0181592751391639,0,0.00201487477362077,0.000934384348492527,0,0.677556934979956,0.743438822420737
"TU0085_CD8_HC",0,0,0,0.529057976893782,0,0.0552746990633809,0.0449899016345516,0.00987575502706489,0,0.284709994885576,0,0.0390090051730247,0,0.0137629998644845,0,0,0,0,0.0214065715190077,0,0.00191309593912768,0,0,0.741446180641407,0.671903462354459
"TU0094_CD8_HC",0,0,0,0.71091993897648,0,0.0158540694660856,0.0154199243277967,0.0139486575068188,0.00290359690140846,0.0848050016616912,0,0.109870485863529,0,0.00622940750578956,0,0.00555157823886356,0,0,0.033885552511639,0,0,0.000611787039897984,0,0.744430291760407,0.669438851056332
"TU0110_CD8_HC",0.0116313193903592,0,0,0.651024549745751,0,0.0146721070684981,0.0347020425254802,0.0118877082816651,0,0.104899540392827,0,0.160239820282704,0,0,0,0.00408783560211892,0.00160880027355426,0,0.00257326806374789,0,0,0.0026730083732943,0,0.716072561423386,0.705671079637416
"XT0082_CD8_HC",0,0,0,0.739737360027093,0,0,0.0215996499188845,0.0145206746142466,0,0.133414702744242,0,0.0766026737709792,0,0.00417915544474687,0,0.00418861861222382,0,0,0.00237821772666236,0,0.00169893548903967,0.00168001165188187,0,0.746763902355148,0.669048646696096
