"ID","T_cells_MCPcounter","CD8_T_cells_MCPcounter","Cytotoxic_lymphocytes_MCPcounter","B_lineage_MCPcounter","NK_cells_MCPcounter","Monocytic_lineage_MCPcounter","Myeloid_dendritic_cells_MCPcounter","Neutrophils_MCPcounter","Endothelial_cells_MCPcounter","Fibroblasts_MCPcounter","StromalScore_estimate","ImmuneScore_estimate","ESTIMATEScore_estimate","TumorPurity_estimate","Bcells_EPIC","CAFs_EPIC","CD4_Tcells_EPIC","CD8_Tcells_EPIC","Endothelial_EPIC","Macrophages_EPIC","NKcells_EPIC","otherCells_EPIC","MHC_IPS","EC_IPS","SC_IPS","CP_IPS","AZ_IPS","IPS_IPS","B_cells_naive_CIBERSORT","B_cells_memory_CIBERSORT","Plasma_cells_CIBERSORT","T_cells_CD8_CIBERSORT","T_cells_CD4_naive_CIBERSORT","T_cells_CD4_memory_resting_CIBERSORT","T_cells_CD4_memory_activated_CIBERSORT","T_cells_follicular_helper_CIBERSORT","T_cells_regulatory_(Tregs)_CIBERSORT","T_cells_gamma_delta_CIBERSORT","NK_cells_resting_CIBERSORT","NK_cells_activated_CIBERSORT","Monocytes_CIBERSORT","Macrophages_M0_CIBERSORT","Macrophages_M1_CIBERSORT","Macrophages_M2_CIBERSORT","Dendritic_cells_resting_CIBERSORT","Dendritic_cells_activated_CIBERSORT","Mast_cells_resting_CIBERSORT","Mast_cells_activated_CIBERSORT","Eosinophils_CIBERSORT","Neutrophils_CIBERSORT","P-value_CIBERSORT","Correlation_CIBERSORT","RMSE_CIBERSORT"
"TP0007_CD8_LTBI",400.983511816843,877.50174887847,1153.02403610748,3.08444930221518,43.5083084436492,0.686941156215273,0,4.62427307690422,0.11664323014794,7.44950497904224,-1875.50724070014,3318.13955810137,1442.63231740123,0.684594632115607,2.06530301246536e-06,6.79324660001284e-05,1.10756910882889e-06,0.654519901562067,1.10454267533232e-06,4.0973668508571e-07,0.345406772761669,7.06058782350298e-07,2.77591682810043,0.937491091782325,-0.602810328347884,0.172385485981154,3.28298307751603,10,0.00803441175509972,0,0,0.722312383435238,0,0.0241865020549891,0.05087459678869,0.0290112792344046,0,0.0944591104697712,0,0.0349381085943045,0,0.00838897311615706,0,0.00609888326898743,0,0,0.0188899220767366,0,0,0.00280582920562194,0,0.6487009080426,0.768918509667362
"TU0146_CD8_HC",330.860544601672,911.975143167619,674.854632381205,3.32562996370841,24.9284519138096,0.374364926255085,0.574655537388442,2.10094662114712,0.0861167991263011,7.74780730562203,-1888.95623147369,3261.26060707785,1372.30437560416,0.692082939857321,1.07578927292558e-09,4.29150757103286e-09,0.0913064106630748,0.739614581307657,8.38004998698454e-08,1.30178926951938e-10,0.169078892276157,2.64551356357427e-08,2.74058346620177,0.915799114331159,-0.510883246341239,-0.0321703381547801,3.11332899603691,10,0,0,0,0.580745144311154,0,0.0420673063447527,0,0.0129069654386789,0,0.239025802197557,0,0.0889088409253815,0,0.00883585863455627,0,0.00244918018295273,0,0.00509693853522778,0.0150175115749948,0,0.00437232366042778,0.000574128194317138,0,0.648910724555975,0.77744070088805
"XT0103_CD8_HC",358.056884546818,726.582479430766,1754.27478104924,1.9261667659445,38.764824386663,2.3781248358996,0.480014741817994,4.67964190032886,0.129260083506467,7.49475011421003,-1826.49402888496,3348.6542866977,1522.16025781274,0.676038880909868,1.52907817312648e-09,1.07195473486151e-08,1.95512851997565e-06,0.395108306310474,1.10507688417046e-06,2.47248069480881e-08,0.604887728350928,8.68159761492119e-07,2.81727946433641,0.929397460818144,-0.589579673554191,-0.0609232739877444,3.09617397761262,10,0.000415513699395361,0,0,0.733748353029467,0,0,0.0288535381467869,0.0188400587462505,0,0.136135403857319,0,0.0653474824688975,0,0,0,0,0.00516670993164518,0,0.00824866443386213,0,0.000702583994419167,0.00254169169195754,0,0.639531377664085,0.786851839845816
"TP0013_CD8_LTBI",414.119053226229,606.578096511574,592.74135804945,3.9953679956136,69.2199896179077,2.03402724733577,0,3.83291569422151,0.246118931026324,2.28998543072127,-1772.42316732206,3335.29232538783,1562.86915806577,0.671623625235644,0.00438642371889915,2.91549021502316e-10,0.146694525606186,0.686340529819957,1.73006065046979e-08,1.2820583928307e-06,0.0760007732949113,0.0865764479094979,2.57504272567468,0.961701342652882,-0.54923131430931,-0.0230565467435731,2.96445620727468,10,0,0,0,0.741166014078483,0,0,0.0330468300272243,0.00928733831136966,0,0.106726420970196,0,0.0786021338295144,0,0.00164127601965208,0,0.00256667140401445,0,0,0.0216725892199908,0,0.00116114714771716,0.00412957899183861,0,0.739726081725714,0.67551178513931
"TU0005_CD8_LTBI",463.81659207899,779.133505578867,841.544084225055,2.05913960835993,30.870054958718,1.94512799196525,0.179844274822198,2.86361593414417,0.126751515575332,2.6765272573035,-1634.9858890811,3366.21747134271,1731.23158226161,0.653110238803023,1.11206744164102e-08,0.000293674211301197,4.97657611051552e-08,0.703219075913536,1.16966783453206e-07,6.12950465720229e-05,0.157653187098307,0.138772589877066,2.7749073851371,0.930745980668381,-0.675936043476884,0.241241915388555,3.27095923771715,10,0.0135057551095168,0,0,0.750121215060998,0,0,0.127922750266569,0.0164735541262892,0,0.0478087419697922,0,0.0290434552552033,0,0,0,0.00570063907385291,0.00349854109687478,0,0,0,0.00592534804090422,0,0,0.665036030957317,0.750601823998783
"TU0010_CD8_LTBI",398.772744167609,627.960390528922,824.373182159232,2.55559695925033,34.1867534030293,2.35769285065683,0.0414597282953994,3.71978516712308,0.0619782766945398,4.13797839194026,-1683.86361478108,3398.9892738375,1715.12565905643,0.654898704502842,6.82618979571483e-06,1.77347422715637e-05,0.0577910952282575,0.583027790892849,8.42005879816412e-10,2.25983572190815e-09,0.172142738241734,0.187013811603251,2.57980425650771,0.902295779150065,-0.662206464283871,0.258099601214765,3.07799317258867,10,0.00210201969128396,0,0,0.857362330601082,0,0,0.0234217885574809,0.0090634029527821,0.00186259412070855,0,0,0.0642047524510452,0,0.01008803406455,0,0,0.000272896274096937,0,0.0315643444349499,0,5.78368520209093e-05,0,0,0.682977566854883,0.738323992714233
"TU0013_CD8_LTBI",428.593754742037,528.043457597861,723.155593381726,4.61030280819237,144.259497309495,1.94197242778341,0.0618655552872463,4.63740072156045,0.204461484558584,4.99883254919003,-1734.90109893176,3463.98225330496,1729.0811543732,0.65334924223701,2.81221646588358e-08,2.87912244609972e-05,0.0299390526234057,0.536241502650899,6.66650903287869e-08,8.91930710749441e-09,0.155249399329117,0.278541150465556,2.60176005056131,0.92294384260324,-0.667830917436426,0.193666791337802,3.05053976706593,10,0,0,0,0.681187318234691,0,0,0.057280289064493,0.00728561577073644,0,0.202004773296967,0,0.0146680401128756,0,0.0125254881759797,0,0.00417994439449557,0,0,0.0208685309497619,0,0,0,0,0.717289965610608,0.69916836851324
"TU0021_CD8_LTBI",340.694037265837,559.22818976054,895.386717961566,4.45824201700885,47.8733983289022,0.929725661935324,0.0283396356071217,2.99590043370239,0.322309055156017,8.841956079293,-1819.70104983655,3254.39792200343,1434.69687216689,0.685443240974491,9.64096567744609e-09,4.8069587346896e-05,0.00688790274057115,0.514296638318728,1.16960953801063e-09,2.41352373187896e-09,0.26063084383717,0.218136532292085,2.61843391897429,0.92863849492028,-0.483316044396308,0.287285482511865,3.35104185201013,10,0.00846196141676297,0,0,0.551444583937849,0,0,0.0806700246283176,0.0189047496015972,0,0.224281435607435,0,0.0697621107889849,0,0.0115588889367252,0,0.00219992482423681,0,0.00487844201328961,0.0249643862627915,0,0.00257170965612599,0.000301782325884224,0,0.573342008672012,0.839172118542471
"TU0022_CD8_LTBI",385.820085772878,607.101282057144,1346.10148553211,5.15655940915233,35.1074547332538,1.13888786468234,0.277633589827366,2.52270718396275,0.188283053378824,3.77151497176024,-1827.4029631048,3346.55540073354,1519.15243762874,0.676364150987772,2.12612220184898e-06,2.70985457343139e-05,0.0508223072001624,0.519160058888499,7.72948419968338e-10,2.46621115382508e-09,0.42073204828331,0.00925635772093232,2.59430068361449,0.928917834278577,-0.619001233905163,0.222521895272288,3.12673917926019,10,0.0104365217521571,0,0,0.672791653830267,0,0.0981165735637329,0.0468869513985479,0.0125670684559444,0,0.10936418425488,0,0.0219533725515143,0,0.00522166538887844,0,0.00358017481269737,0,0,0.0169801130339399,0,0,0.00210172095744022,0,0.649375064669751,0.767528174775356
"TU0024_CD8_LTBI",391.721728749715,414.308197785782,1906.96006137046,1.14116119774141,36.8246728283226,1.89446416250015,0,2.28707281905692,0.15345684660595,3.69761341873212,-1812.04367654176,3319.77045363975,1507.726777098,0.677598536431634,1.22889902534512e-06,3.02673617678811e-09,0.000265596226235368,0.322263201112325,5.99929552593194e-07,1.24231642133045e-09,0.677468576924923,7.92638886689899e-07,2.72706837892108,0.92363224284347,-0.510336957283274,0.0619172074408421,3.20228087192212,10,0,0,0,0.653269669468579,0,0,0.0387826686669942,0.0116084219617229,0,0.212898989274003,0,0.0596215297920259,0,0.00892446026520574,0,0,0,0,0.014894260571469,0,0,0,0,0.651310025386994,0.773624336406683
