"ID","Bcells_EPIC","CAFs_EPIC","CD4_Tcells_EPIC","CD8_Tcells_EPIC","Endothelial_EPIC","Macrophages_EPIC","NKcells_EPIC","otherCells_EPIC","T_cells_MCPcounter","CD8_T_cells_MCPcounter","Cytotoxic_lymphocytes_MCPcounter","B_lineage_MCPcounter","NK_cells_MCPcounter","Monocytic_lineage_MCPcounter","Myeloid_dendritic_cells_MCPcounter","Neutrophils_MCPcounter","Endothelial_cells_MCPcounter","Fibroblasts_MCPcounter","StromalScore_estimate","ImmuneScore_estimate","ESTIMATEScore_estimate","TumorPurity_estimate","B_cell_TIMER","T_cell_CD4_TIMER","T_cell_CD8_TIMER","Neutrophil_TIMER","Macrophage_TIMER","DC_TIMER","MHC_IPS","EC_IPS","SC_IPS","CP_IPS","AZ_IPS","IPS_IPS"
"AD001",0.0524173781818264,0.751857948038808,1.08038543125817e-06,1.90148423401892e-06,0.178237884881657,0.0174192450806588,6.45347940001126e-05,2.71533841112222e-08,302.133333333333,249,259.285714285714,43413.3333333333,13.875,1017.57142857143,235.8,727.714285714286,989.6,37309.75,1352.52230260144,2540.44852510848,3892.97082770991,0.384223084898178,0.140351995272481,0.242839155565764,0.20223903686819,0.106814593190688,0,0.4699386041827,2.22714258237933,1.15813607052567,-1.40489119113295,-0.605009651230095,1.37537781054195,5
"AD002",0.00598732171135959,0.135972525575478,0.0897720447373908,3.77428456573677e-06,0.0353714927921151,0.0223460838897487,5.84284788863299e-09,0.710546751166495,134.466666666667,54,47.5714285714286,2750,2.125,1019.14285714286,1070.8,783,371.8,7429.5,-94.3395923255674,1636.07549386036,1541.7359015348,0.673918725166301,0,0.00129519696947284,0.246532790939954,0.0512419015882625,0,0.629336617336723,2.41151107708862,1.02270960472878,-1.30753037286256,-0.671407128432977,1.45528318052186,5
"AD003",0.0531048989283855,0.387477655926496,0.182194929964607,5.53325625051157e-07,0.0402425574788564,0.0192602258979475,1.3223928256443e-05,0.317705954549826,185.533333333333,144,159.714285714286,42479.6666666667,9.25,678,86,382.428571428571,157.9,18948.5,300.063855994974,1679.89030443245,1979.95416042742,0.62503379170384,0.0246800317765478,0.0399407383492611,0.286382331198698,0.0866151143770306,0.0588459657421543,0.327952293657783,2.11622515087676,1.1289499252914,-1.30664157967778,-0.614606336407949,1.32392716008243,4
"AD004",0.0104316241051982,0.0355051916736565,0.0732350794318786,0.0208519393658921,0.0324958363041703,0.0170109440816599,0.000308635695770681,0.810160749341774,73.5333333333333,62,102,18045.5555555556,2.625,464.571428571429,57.4,172.357142857143,141.733333333333,6015.25,-464.783769931585,1426.71057543241,961.926805500827,0.73428270107831,0,0.156725733913012,0.143137281886515,0,0,0.53137657400897,2.56335013696917,0.994272031264556,-1.38350509742104,-0.706450259752075,1.46766681106062,5
"AD005",0.00468235331319113,0.357891481581418,0.0821539494983285,1.72379307390049e-06,0.0451829651916939,0.0119110499178792,4.6776738402651e-05,0.498129699966013,93.9333333333333,28,98.1428571428571,9980.77777777778,12.375,605,61,464,299.166666666667,21054.75,20.5923974096341,1057.92551480681,1078.51791221644,0.722557852753056,0,0.0798946823938884,0.172525985238519,0.0533881933398231,0,0.538796119518992,2.39610120022983,1.02975228442165,-1.28483808387681,-0.684739789023187,1.45627561175148,5
"SA001",0.0467651458249713,0.225170242397447,0.089464745137548,0.000762871925822974,0.623063218404957,0.0147719992264918,1.77465882282072e-06,2.4239384617597e-09,247.066666666667,147,218.142857142857,13206.2222222222,22.75,708.714285714286,290.2,821.785714285714,1927.6,18429.125,1587.9735854539,2329.42452261559,3917.39810806949,0.380910213467155,0.220065086881251,0.232658574770729,0.252164427561964,0.119898868231043,0.284000899577722,0.189285118206345,2.28947174667121,1.09736048916011,-1.39480462514897,-0.637529329417438,1.35449828126491,5
"SA002",0.0231516462022004,0.133503250747171,0.10189304138975,0.0053449696460388,0.719983449662491,0.0161197391505501,1.72010067080992e-09,3.90148169795308e-06,226.866666666667,38,103.714285714286,16510.6666666667,12,738.857142857143,393.4,927.642857142857,2424.36666666667,12168.25,1693.11728014088,2131.13237866307,3824.24965880395,0.393516537471636,0.148457112327535,0.103818281663009,0.330488256310555,0.150604607548186,0.0704091065492632,0.341204309163909,2.30858853055876,1.10193771465868,-1.41902721756221,-0.594359880871247,1.39713914678398,5
"SA003",0.0797846253766027,0.119024356235654,0.197037400229549,5.81868668738445e-09,0.0550964678684184,0.128264477564991,1.01282438119741e-07,0.42079256562366,153.6,76,164.714285714286,21618.5555555556,27.25,475.857142857143,99.6,4194.78571428571,140.7,4238.375,624.667652018365,3710.14437562602,4334.81202764439,0.323578485548973,0,0.0702019923937537,0.0455495494681507,0.665264602053508,0,0.347862933532807,2.74930604156137,1.14537736692812,-1.8240117909466,-0.723670998933473,1.34700061860942,4
"SA004",0.00161113591513451,0.0752072357270055,0.0942977947202786,0.00802287232737765,0.0687273961254657,0.00981169088296139,4.99818044755124e-09,0.742321869303596,18.7333333333333,0,9.14285714285714,102.888888888889,5.25,1489.42857142857,210,917.428571428571,400.333333333333,4245.5,-546.022448586113,362.361579942465,-183.660868643648,0.837541771493369,0.0200448241603426,0.0642497488010596,0.198805197500255,0.0668255651946708,0.134754597262261,0.279899630744068,1.91091026664485,0.821401243415209,-1.13727078089589,-0.207209857815444,1.38783087134873,5
"SA005",0.00523356527769127,0.215158736739831,0.148114789873396,2.26302262999723e-05,0.276043337465214,0.00851209241254509,1.86220281918704e-07,0.34691466178474,96.6,25,49.7142857142857,1964.33333333333,7.875,1033.57142857143,343,793.428571428571,958.1,11862.375,670.763561345463,715.302575141459,1386.06613648692,0.690623408175864,0.13050940585187,0.0261328630853361,0.264373749955042,0.0245877196012662,0.0501147485034568,0.467758937702009,1.83683992151221,0.939385213148562,-1.17278681845341,-0.404920564593412,1.19851775161395,4
