"","H1","L1","H2","L2","H3","L3","H4","L4","H5","L5"
"ABHD3",22.1458886828266,22.3545300058487,17.8286120287741,27.4527514649619,29.8681526830104,24.8983636156587,8.9203292590986,10.2874628156546,19.9200786594048,22.7660942500649
"ABHD4",1.26673215174948,0.216748139163721,1.28176754466782,0,0.311361909563936,3.31851475716995,0,0.438741710883434,2.17770833254737,1.88848170482211
"ABHD6",11.2519043446507,6.1813137768911,5.86759139815035,37.7181401016025,1.81173190339308,11.1037357628657,0.0006091292297573,5.14690633776495,0,24.6483588230893
"ABI1",6.68646174058967,12.7614802511127,9.83702469422966,38.2919171196735,10.9006665748121,12.6258695359425,63.6184908589634,15.993192197711,58.8009528445423,53.3834021815205
"ABI3",7.94011499026206,21.3048787579187,8.55442925952104,8.99704190390619,11.4012528289394,4.58631631872949,3.5365051473986,0,5.44330106588418,9.6512780926816
"ABITRAM",2.26017975254298,14.0714509192826,1.51068794829175,10.5407903644278,2.22673298083268,3.71022787393052,3.36491485995557,9.06231129999032,2.28191000396951,8.41676791914968
"ABL2",17.8902225506271,84.3873918139498,38.4112971590415,29.0189582806662,10.4549459369819,0,22.7122616108555,6.94152885216345,7.96011640074083,0
"ABLIM1",0,0,0,8.55827262058803,0,0,0,33.0447415416596,0,0
"ABLIM2",22.1108926699236,23.948196302052,16.124233040297,14.2157875529028,0,0,1.29723277244244,11.9200489336248,0,8.80120631142294
"ABLIM3",0,3.97272391799275,0,0,15.4739554872231,0.125562270743009,17.4799406878125,3.76477708841432,0,0.00428125842361153
"ABR",19.5369427828702,82.7590408898528,1.05247723272777,89.3486809037708,107.832823016453,147.712330121175,0.0324680045256682,15.7345105802279,1.73331885148236,122.283201740233
"ABRACL",7.50089444243928,1.0592767452568,6.53545205553736,4.2576264049392,4.80417631356194,2.6076642022709,5.77145695456229,1.28049611608168,6.29903397365015,4.92821241392041
"ABRAXAS1",2.77895790303195,2.74638630228876,5.87909378531305,3.55996544639249,4.89464995555596,4.59547618930009,5.37981519142043,2.64854601038844,4.34647409482777,5.99448774557146
"ABRAXAS1P1",2.15966571391487,16.2865056644452,0.658683408211254,27.0529037523565,14.6668402380959,24.7513597003216,26.4876445768912,28.7328329336824,18.961595027048,12.4455437807705
"ABRAXAS1P2",0.888006672505715,0.0300052816454275,0,0.232475591134679,3.24851481441267,2.85733071192452,1.46052190340552,2.11146106578149,0.721905270939494,1.343049381654
"ABT1P1",2.35056553331916,1.27261799197652,0.595570003611026,2.2709401655598,16.4600181936221,0.774540816001344,0.451109774921424,0.125069245622123,1.17542979481034,1.63676232368081
"ABTB1",4.49313123465476,7.27361275071664,5.42128820742862,0.142712425946886,5.76448199253282,0.00869673104736416,0,0.020287713863467,0,0.296821507925694
"ABTB3",0,0,6.28201201496017,0.449518381366996,2.87460276922537,0.726888905055431,0,0.263828718384894,3.5517253707202,0.471478237441985
"ACAA2",22.9987209313832,0,0,0,0,0,0,0,19.7783448429052,73.6253781500264
"ACAA2P1",4.06553485268643,4.89759259929887,4.24966526755154,2.84979900122687,0,0,1.36368452167015,1.07194124758636,1.91551631788203,1.69052003814772
"ACACA",3.56181184970908,5.69049550702078,8.7673907615073,10.2432113036291,11.700523193636,7.02345940987249,7.99450949305166,1.03911300265995,5.07150334312874,5.84473677158035
"ACACB",0.19711675816706,10.6189964196972,2.32397541795324,12.0472331317211,11.2946694717316,10.0479320297369,0,12.1721153767532,4.92147840187831,44.2239476108765
"ACAD10",5.82518927715653,0.0694103026845662,0,0,0.536249830566255,0.752550265305642,7.39182570049296,5.63540335736497,0.907685687677917,0
"ACADM",0.0355724178214174,1.21018566176763,1.2855899306009,4.49209256978663,6.08952790157149,0.228790924476811,1.09099294788345,0.957378455351245,0.824167411393135,1.73283003987324
"ACADVL",11.9337501913411,1.80132254770009,3.35674182183713,10.2107298243399,22.8060238715462,5.3637217384486,2.67691047784272,3.99229309837576,5.12489226429217,7.92652660131204
"ACAP1",2.49818008813674,3.59201394909899,10.4966592952538,3.97337247875881,7.062036226894,2.77588676909832,2.45759562353801,8.97528815072419,1.25779323586197,3.16733082428899
"ACAP3",3.17932601456907,5.32862606381136,3.40581632510708,18.4329467651876,6.49595564781109,0,0,0,0.151253804383147,5.37022442490772
"ACAT1",5.09622919035005,8.81317923678486,5.91983654412978,11.1193681779237,12.9492112918485,9.9567621569228,7.65560698856995,9.71049226096732,13.549977902176,11.0078599737876
"ACBD4",6.1007245520796,7.93656118280323,7.99666036287962,8.60337667906747,10.4248929854968,3.435517523391,1.26840537749927,4.56418730268917,9.52241599865725,9.00707899909748
"ACBD5",0,7.57138746439209,0.0812917561345386,26.7964944396404,1.8021216250069,33.907490848101,25.1403498812403,32.932938020011,9.81914943125778,0
"ACE",0.479198346091987,0.406507943605323,0.893434271484276,41.8082304554711,42.9857567911286,7.28736317153659,8.04319733404412,0.510252806916561,14.0696833682544,15.5713277841834
"ACER3",8.92222662766031,0,0,0,0,0,0,0,1.87669608735221,0
"ACIN1",4.50386334527835,12.5274103214506,6.06690152180416,18.088296490711,13.0317041438918,7.24568061444567,115.873165968147,15.4019830992922,4.40280932639373,8.76792418072112
"ACKR2",0,0,0,0,12.1158020247861,0,7.44765310269002,12.6471344207962,7.84412948770857,11.0367119327294
"ACKR4P1",0.426676878884208,5.79403630449081,1.046752461169,1.89797690733366,3.36561577879461,2.00657771437793,2.29315906309562,3.74799152567985,2.37940474769142,5.0917006432012
"ACLY",159.023090336843,84.3496902391327,269.858579719655,204.873663733832,178.145137903442,115.459911242635,124.624185632965,200.50154816076,188.841470385273,152.166180781204
"ACOT11",0.389238007041296,1.27122239748138,7.69634765424738,1.75072128961885,0,10.5443832920107,0.110124898421703,0,4.74098357716854,0
