gene	log2FoldChange	pvalue
OTUD5	0.112110017	0.610615158
TBC1D25	0.187660596	0.371218842
INPP5A	0.084727854	0.730742151
REEP1	0.046039504	0.953814452
IP6K2	0.059501317	0.81573054
SRBD1	0.260872613	0.348817954
KIF2A	0.374379593	0.263024702
RASGRP2	1.029260484	0.082648789
PSME4	0.093687543	0.776769396
IFT80	0.649697784	0.167584696
PYGM	0.412245222	0.416375193
PAGE1	0	1
PITX1	0.005761586	0.996015042
TRPC7	0.495355393	0.875464745
MAST4	0.184267942	0.500582032
ADGRF5	0.310036985	0.734808425
SDK2	0.004933133	0.993285044
ADAM7	0	1
NUCKS1	0.073188052	0.797203014
ABCC9	0.256495116	0.768385716
GAL	0.801815288	0.322425099
CLEC2D	1.168078515	0.090824873
FUNDC1	0.347381854	0.40177468
MAOB	1.486002005	0.002421363
RORA	1.023952878	0.090632233
TGFBR3	0.079652331	0.839189524
HES2	0	1
ATP1B3	0.076483594	0.831603933
PIGB	1.030522103	0.016484324
GNB5	0.708901062	8.81E-02
RAB27A	0.777295394	2.78E-02
UFD1	0.274502512	0.406751645
SCT	0.421911302	0.542418032
ELP1	0.106999222	0.547649011
PFN2	0.029309372	0.948110726
SPTB	0.753274533	0.200272031
DAPP1	0.335534698	0.592879893
TMEM260	0.200200272	0.405274657
SMG6	0.210324376	0.320097716
CLTCL1	0.141136079	0.729986903
RNF126	0.452812508	0.108593159
ZXDC	0.31858789	0.307450454
JMJD6	0.331433261	0.331457781
POLB	0.601246523	0.160337584
FRMPD1	0.101380876	0.939931241
ASNS	0.450941617	0.504722885
AP3M2	0.785667945	0.162509063
CNGB1	1.25257123	0.259234261
CHAT	0	1
PABPC1	0.299394618	3.67E-01
TESK2	0.892358422	0.060673989
CSNK2A2	0.227018035	0.220708341
CDC42	0.034733973	0.871592469
EPHA8	0.668721282	0.678222816
SLC12A3	1.115991266	0.293836841
ATP2B1	0.968744967	0.125745605
NCK2	0.282090628	0.274181731
MAP4K4	0.03806601	0.877180469
MGAT4A	0.339381557	0.347439513
RPL31	0.35885587	0.181866359
SNX13	0.156608054	0.66315759
MS4A12	0	1
ING3	0.862450032	0.057687494
BUD23	0.034461485	0.883222382
TCF3	0.014682339	0.956201325
DAZAP1	0.080564936	0.55658219
PRLH	0	1
MYO3B	1.447865049	0.151016027
CDH19	0.586850166	0.626776989
PDCD2	0.099187479	0.620210056
ACTN1	0.077264107	0.836991963
RPS6KA6	0.402163572	0.490041141
EPN2	0.007549721	0.974262206
ASIC4	0.461557279	0.746731805
SPEG	0.689350495	0.194598393
LNX1	0.480612743	0.424793515
TRPC5	1.548399053	0.128108551
AFF4	0.151987987	0.640105235
MPP5	0.143191523	0.706226276
TRHDE	1.51908878	0.266091942
NFATC3	0.756120388	0.042853725
TRNT1	0.090589671	0.72598857
STK10	0.132836644	0.808496996
ACAP1	0.84513185	0.098132511
CRMP1	0.251627172	0.586845113
DERL2	0.16641584	0.423367291
SIDT1	1.373115448	0.046532327
NDE1	0.26588942	0.436166439
IRAG1	0.723607415	0.298492179
TMEM38A	0.098827081	0.802708508
CYP2W1	0.038534687	0.95047576
PANX2	0.098002187	0.865365153
ALPK1	0.495250491	0.277186107
LLGL2	0.926026731	0.075340607
