gene	log2FoldChange	pvalue
FCRLB	0.390931518	0.581993889
FCGR3B	0.557884324	0.323325386
C1orf74	0.342599164	0.327170947
LMX1A	0	1
LRRC52	0	1
FLVCR1	0.027782691	0.914840284
RBM15	0.345586997	0.202979207
DENND2D	0.443033803	0.345486021
AXDND1	0.460668686	4.91E-01
TDRD5	0.498015594	0.869289365
SNED1	0.411845843	0.218134682
SPATA17	0.791999237	0.481541882
BROX	0.264760807	0.433586239
NBPF20	0.252691826	0.506544826
ACP6	0.736115376	0.121223383
WDR64	1.48658739	0.230299713
KIF26B	0.173308985	0.691573857
CNST	0.165300315	0.507417067
PPP1R21	0.140463862	0.637101767
KLHDC8A	0.073323087	0.926830093
PM20D1	1.018969742	0.19760526
MAPKAPK2	0.102437339	0.773897651
IL20	0.496015438	0.857123778
IL24	0.988753953	0.276029373
FCMR	1.201770722	0.071153571
CAPN2	0.155325912	0.31307405
WDR26	0.313478834	0.328761435
TRIM17	0.311592469	0.42063634
RFTN2	0.237709071	0.61679281
DISC1	0.113574535	0.757416692
CAPN13	2.875677805	0.144261129
LRRTM1	0	1
TYW5	1.041451615	4.97E-03
ARL5A	0.379857508	0.270544207
NEUROD1	0	1
CLHC1	0.758276978	0.11178225
CFAP36	0.147221701	0.580637886
NUP35	0.411835954	0.232977064
FBXO41	0.079154891	0.848294766
ACTG2	1.023060199	0.171709878
WDCP	0.45487763	0.241352056
CCDC74A	0.103451601	0.858962103
H3-3A	0.123214158	0.718918978
COQ8A	0.409225326	0.45195691
SLC16A14	0.575569002	0.368353464
TEKT4	0.49606481	0.875284827
EN1	0	1
SGCB	0.226125689	0.639848247
XIRP2	0.495355393	0.875464745
SMARCAD1	0.056327789	0.874780264
PDLIM5	0.215669907	0.599138655
PDHA2	0	1
RPRD2	0.449865958	1.08E-02
ANKRD23	0.370168859	0.591439534
MSX1	0.350575889	0.686655794
PACRGL	0.337882252	0.39255891
SCNM1	0.320355186	0.392044227
TMOD4	0.87469415	0.241957059
ERCC3	0.196228541	0.221395541
RNF149	0.479484316	0.307104194
CDC42EP3	0.708646234	0.327900847
SMCP	0	1
DHX57	0.205896427	0.359477645
PGLYRP4	0	1
ARHGAP25	0.768768873	0.173711645
S100A9	0.237737676	0.726196707
S100A12	0.679431934	0.36069111
TGFA	0.166787131	0.645359314
DCAF16	0.342797265	0.247069943
C1orf189	0.751960333	0.367728158
GNPDA2	0.539837004	0.201395608
ALPP	1.832431044	0.456790925
GABRG1	0	1
GABRB1	3.966023434	0.050866003
PAQR3	0.169823249	0.573317045
ALPI	0	1
ANTXR2	0.483313524	0.16962474
HELQ	0.328892384	0.187302212
MRPS18C	0.460030119	0.116967781
CGGBP1	0.139275451	0.622295319
ABRAXAS1	0.424450319	0.224072302
GPR155	0.064753201	0.827405919
DAPL1	1.022033686	0.472248406
PBXIP1	0.253408375	0.454353463
PYGO2	0.035899531	0.90279661
HIPK1	0.00502192	0.981724076
LENEP	0.059934188	0.964568432
DCST2	0.802100973	0.372553499
DCST1	0.294530062	0.705754807
YY1AP1	0.444054055	0.111651793
KBTBD8	0.115733533	0.845837676
TAFA4	0.400263555	0.876440384
EOGT	0.1089646	0.683575616
LMOD3	0.546875025	0.399553852
SLC22A15	0.698557071	0.187733505
IGFN1	0.239829955	0.860661139
SLC15A2	0.104449532	0.842174983
EIF4E3	0.504779908	0.203638645
PROK2	0.103280242	0.869174211
TEX55	0.495355393	0.875464745
LMOD1	0.082500783	0.931822059
PDCL2	0	1
TMEM183A	0.216907328	0.30170711
TMEM169	0.241939092	0.783858407
TRIM46	0.441820664	0.437566495
KRTCAP2	0.873447624	0.099495237
CXCR1	0.26232569	0.67143164
ARPC2	0.158369661	0.652870655
SSR2	0.052589582	0.833156296
RNF25	0.252150328	0.27276904
NEK10	0.499869806	0.435577735
CCDC141	0.434967746	0.327084017
FEV	0	1
EOMES	2.058391775	0.005882026
CWC22	0.781719908	0.109994079
AZI2	0.005278585	0.987583319
TGFBR2	0.479303056	0.408916562
RETNLB	0	1
ANKZF1	0.68563862	6.37E-03
FCRL4	0	1
TRAT1	1.430154967	0.052943345
FBLN2	0.182311422	0.652411611
DPPA2	0	1
FCRL1	1.382260214	0.144272852
SERPINI1	0.036103713	0.930897171
CLASP2	0.125350928	0.625095985
NUAK2	0.432462096	0.485848697
MNDA	0.390215556	0.507383841
PYHIN1	1.639173873	0.013380967
IFI16	0.38114874	0.263961141
AIM2	0.359164589	0.647223416
EFHB	3.000774602	0.017777417
EIF5A2	0.281156555	0.438668679
SLC2A2	0.495355393	0.875464745
RPL22L1	0.096277351	0.77319933
FABP1	0.495355393	0.875464745
ICA1L	0.21198002	0.497400676
CTLA4	0.577317217	0.343391669
ICOS	0.493861715	0.59067792
RYBP	0.593170533	0.192594148
GTPBP8	0.316563437	0.284895097
NEPRO	0.334967127	0.31773857
SPICE1	0.364619591	0.500967541
PTPN13	0.159015231	0.663964251
ALB	0.637668063	0.709396841
C3orf49	0.150249845	0.809346087
THOC7	0.078643265	0.831938748
ATXN7	0.554561856	0.109119043
PSMD6	0.124591	0.516266985
PPM1K	0.536625408	0.081319952
ERICH6	0.372622549	0.768198974
CCNL1	0.096495825	0.831591856
DCLK3	0.700759052	0.743427091
SLMAP	0.313795186	0.214216916
RPL9	0.263881831	0.253034591
SMIM14	0.114570503	0.817077056
RPP14	0.068589088	0.853895756
DNASE1L3	0.071094311	0.91872069
CFAP20DC	0.178418048	0.771709953
CRELD1	0.515504511	0.246028965
PRRT3	0.482309157	0.132951669
PCOLCE2	0.202384225	0.702968622
U2SURP	0.418899788	0.272525344
TTC14	0.643410983	0.059528525
PF4	0.399844904	0.484761966
RCHY1	0.27425775	0.451635821
CCDC158	2.006658063	0.041506708
HPS3	0.117260277	0.665138181
TOPBP1	0.570870234	0.056239906
RYK	0.165156821	0.53472374
SNRK	1.235308742	0.029725026
TCF23	0.494879302	0.860715854
DNAJC5G	0	1
ZNF513	0.139857054	0.562192425
SPDYA	0.192518978	0.692806962
KIAA1143	0.075258107	0.801578313
WDR43	0.322301818	0.292035426
LZTFL1	0.202706606	0.519008155
FYCO1	0.156491043	0.516141631
FBXO40	0.98112268	0.16337988
ZNF148	0.317075576	0.370581895
NMNAT3	0.41808816	0.370447678
ZMYM6	0.512885844	0.078820985
YEATS2	0.203536523	0.430926284
GRIK3	0.016257247	0.987969318
SNIP1	0.315716052	0.36043714
CFAP100	1.271987142	0.012710109
TMEM41A	0.001195086	0.997075351
SENP2	0.084238951	0.665218864
RHO	0.422383289	0.822673189
RFC4	0.431009224	0.071152176
RPL39L	0.13387257	0.815001189
PRKCD	0.110722727	0.809140704
SFMBT1	0.479111215	0.118630909
GNL3	0.033154794	0.906783396
TASOR	0.258905311	0.327710832
ARHGEF3	0.544483763	0.110787662
SLBP	0.053809908	0.839385999
ZDHHC19	0.242208134	0.698247051
UBXN7	0.239031383	0.377322182
RNF168	0.40209335	0.203120658
MELTF	0.146187838	0.672448618
OTOP1	0	1
S100P	0.318775583	0.697763207
ABLIM2	0.052615325	0.915964574
EXO5	0.544953937	0.096108353
C1orf50	0.626142843	0.044260591
ERMAP	0.080457978	0.767354691
METAP1	0.041264545	0.829240685
DNAJB14	0.431883745	0.370010432
SLC9B1	0.082991854	0.846539736
SLC9B2	0.022194404	0.95197344
PGRMC2	0.366617796	0.224780778
CAMP	2.927068826	0.003325234
ZNF589	0.821621248	0.015593831
ATRIP	0.040176377	0.901766338
SPRY1	0.106870936	0.786421256
MFSD8	0.244007722	0.327365229
ABHD18	0.105894747	0.607256188
RAD54L2	0.000880686	0.995286715
WDR82	0.263589584	0.227810363
PRSS12	0.676126726	0.230590773
HMGB2	0.548335892	1.04E-01
HAND2	0.521297708	0.570496933
ADAD1	0	1
MAP9	0.238468696	0.696394697
GUCY1A1	0.801269856	0.173464517
CEP44	0.047075759	0.866159333
HPGD	0.44967808	0.522334825
ASB5	0.494181297	0.875755844
NPY1R	0.422660955	0.529946988
NAA15	0.21226115	0.433449918
FAM160A1	1.491970433	0.006804088
ICE1	0.438480345	0.186843874
ANAPC10	0.146559478	0.728742231
ABCE1	0.085676401	0.788546093
LSM6	0.344646901	2.23E-01
TMEM184C	0.122356896	0.581952431
PRMT9	0.375294438	0.266472661
ITGA2	0.274964513	0.585693584
EDIL3	0.86892363	0.170462078
TMEM161B	0.518848277	0.223713086
NDUFAF2	0.118184657	0.747361322
ZNF474	2.7464019	0.234196624
NIPBL	0.559868954	0.210381677
RNF180	0.497068873	0.419552046
PGGT1B	0.354210835	0.366662352
F2RL2	1.011177288	0.185586123
CCDC112	0.119121285	0.866656135
ANKRD33B	0.494100953	0.511064883
C5orf63	0.432053115	0.447124163
PRRC1	0.087734212	0.662981784
F2RL1	0.039985455	0.922953522
PRDM9	0	1
SPINK1	1.646720246	0.401206469
HTR4	2.084185262	5.03E-01
ESM1	1.709394785	0.585325631
GRPEL2	0.266943177	0.427603138
CDC20B	0.367591487	0.825182359
ARSK	0.15255294	0.774748035
GPX8	0.38805633	0.489521815
SPZ1	0	1
SERINC5	0.058249741	0.839467375
ENPP6	1.017035568	0.576068147
CASP3	0.027666359	0.927526507
ERAP2	0.536525887	0.631550606
CMYA5	0.191585527	0.716495928
CFAP97	0.183077193	0.645755248
TMEM174	0	1
CARTPT	0	1
RICTOR	0.852824735	0.106977179
TENT2	0.320989881	0.31688259
EBF1	1.298702135	0.122586783
ANKRA2	0.054311803	0.84841971
UBLCP1	0.318340952	0.347667429
FAM170A	0	1
UTP15	0.343488979	0.218602788
KLKB1	2.960985774	0.038249661
NSA2	0.380019205	0.304807822
TERT	1.049448528	0.590535295
SLC6A18	0	1
ACSL6	1.598929243	0.057579993
GDF9	0.381124178	0.448580693
LEAP2	0.489562601	0.186039053
GJB7	1.241575911	0.169906796
SLC35A1	0.544404009	0.255568886
GRIK2	0.336657418	0.466128
FABP7	0	1
TLX3	0	1
TBXT	0	1
CREBRF	0.501718173	0.281058346
SFXN1	0.371198882	0.14269085
SAMD3	1.191282913	0.002171754
TMEM200A	0.058137933	0.900425298
IL22RA2	1.709394785	0.585325631
SPATA48	0	1
STXBP5	0.666104053	0.108385871
H2AC1	0	1
ANKRD55	0.617967756	0.227041088
STK17A	0.576006235	0.147319058
TRA2A	0.222248448	0.316510502
SAP30L	0.033324715	0.896955126
RPS14	0.127711012	0.602003465
HCN1	0	1
COG5	0.189909508	0.482570518
NEUROD6	0	1
BMT2	0.014684188	0.956690965
SLU7	0.491789532	0.138833023
RP9	0.458071121	0.186730899
CAMLG	0.167242597	0.545557858
ZNF12	0.594744866	0.059092154
TEX47	0	1
STEAP1	0.017348332	0.973948122
CDCA7L	0.262396495	0.425374923
USP49	0.859626823	0.044013956
SYTL3	0.888765968	0.183500028
IQUB	1.417770218	0.343677198
SHH	0.789767405	0.52666851
TAGAP	0.285957958	0.615106539
CHMP4C	0.08357589	0.917975477
PGAM2	0	1.00E+00
LMTK2	0.468857486	0.176284782
SLC35G3	1.98466073	0.450415931
ADCY1	0.317021838	0.466883299
C8orf48	1.309174381	0.498640423
SUN3	0	1
C7orf57	2.700453229	0.039392176
HNF4G	0.495355393	0.875464745
RAD21	0.130637366	0.59675315
SLC30A8	0.495355393	0.875464745
MED30	0.654525317	0.041878104
SBSPON	0.492845396	0.374033718
PHKG1	0.377409528	0.266859505
CSMD3	0.774921217	0.263629943
SPIDR	0.000972858	0.994373777
ORC5	0.529135322	0.028981433
DEFA5	0	1
DEFA4	3.471578652	0.000337224
DEFA6	0	1
OSGIN2	0.163747572	0.626960515
TMEM74	1.770022899	0.240432333
GPR146	0.236658602	0.577643066
UNCX	0	1
TMEM184A	0.408158058	0.318476191
NOS3	0.472992222	0.517476344
SPAG11B	0	1
CA3	2.151548645	0.488373366
SLC7A13	0	1
PHAX	0.162183268	0.636557075
YWHAZ	0.408096275	0.07343558
SLC25A32	0.092777667	0.928300071
DCAF13	0.061677857	0.814119252
DCSTAMP	0.589429683	0.613486008
TP53INP1	0.215778954	0.507167979
VIRMA	0.225651271	0.279208309
PDP1	0.200191327	0.363564723
TMEM67	0.170911612	0.68465044
NUDT2	0.123718297	0.731236161
TMEM65	0.078650757	0.805028353
PSIP1	0.367069914	0.329858575
CCDC171	0.183767933	0.779641919
UBAP1	0.2419932	0.512969598
DIRAS2	0	1
NIPSNAP3B	0.001808864	0.997165497
NFIL3	0.169524703	0.627711386
LETM2	0.503322011	0.193811903
PRKACG	0.008719144	0.99779661
FXN	0.123023614	0.712175936
ZMAT4	1.202410591	0.105957527
TMEM71	0.998047732	0.162029874
PRSS37	0	1
CPA6	1.415304656	0.653441528
C8orf34	0	1
TMC1	0.27494459	0.676441074
KDM1B	0.059271555	0.892309012
GKAP1	0.817948177	0.08454943
KIF27	0.560527701	0.27219341
HNRNPK	0.181576559	0.294346958
LLCFC1	1.868917102	0.525712257
ANKS6	0.233630715	0.435044151
PGAP4	0.003197573	0.996689561
ZHX1	0.047144749	0.906207937
DYNLT3	0.219283187	0.621571335
SHOC1	0.365156328	0.553452538
PTCHD1	0.604499783	0.276077535
OR1Q1	2.047080849	0.510527078
OR1K1	2.690641836	0.107429921
STRBP	0.287941125	0.460953255
GAPVD1	0.170462378	0.280614225
CARD19	0.030160939	0.948092795
ATP7A	0.128087774	0.68566404
ZNF367	0.012690269	0.983583598
NLGN4Y	2.283116378	0.356034828
HDX	0.073944645	0.88006282
AQP7	0.193061991	0.888986392
AQP3	0.960265958	0.001906559
TRMT10B	0.404676128	0.115692208
BRWD3	0.505762706	0.165538271
SLITRK5	0.303847654	0.660945682
ARHGAP12	0.271511746	0.277019902
FAT3	1.090003307	0.157726863
SLC7A3	1.56537791	0.412191303
FBXO33	0.634140173	0.105458875
INTS6L	0.595976314	0.138834294
CLDN2	0.225262364	0.73071526
LRRC18	0.733747124	0.37058147
WRN	0.35969989	0.310600346
TSHR	1.054918392	0.168153223
GTF2A1	0.329821839	0.22360635
PGM2L1	0.154830279	0.602857681
PHOX2A	1.073133602	7.34E-01
REEP3	0.069280942	0.864102678
HEPACAM	0	1
MICU2	0.307400845	0.375631369
PCF11	0.476195482	0.178743899
PKNOX2	0.644717225	0.471545917
RPL10L	0	1
LRR1	0.483241486	0.221545675
RPL36AL	0.051030885	0.871020294
MAGEC3	1.073133602	0.734212551
ZNF22	0.704615161	0.075744535
KLHDC2	0.268610043	0.202898728
EML5	0.454364107	0.268819106
NEMF	0.523267331	0.121370463
RPUSD4	0.343098836	0.089046447
TTC8	0.166034824	0.758484241
TMEM63C	0.16427342	0.816277116
NOXRED1	0.669473591	0.294302791
CDX2	0	1
AMER2	1.073133602	0.734212551
AKR1E2	0.264795587	0.649271881
KBTBD6	0.031043754	0.933567854
SSX5	0	1
SSX3	0	1
OTX2	0	1
FAAH2	1.203978683	0.125864714
DRGX	1.384511207	0.338400326
DACT1	0.746016426	0.096757262
OXGR1	0	1
UCMA	0.495355393	0.875464745
BEND7	0.381021595	0.42448828
PRPF18	0.39270203	0.292107598
TAF3	0.319426542	1.33E-01
VSTM4	0.27771439	6.80E-01
SOHLH1	0.49606481	0.875284827
SLC18A2	0.639222534	0.297879678
PDZD8	0.269076246	0.438110686
ABRAXAS2	0.246069665	0.38107788
QSOX2	0.351574784	0.146790774
FAM204A	0.300653451	3.29E-01
NSD1	0.177530467	0.180351896
CLEC1B	0.299957062	0.607267858
AK8	0.854896538	0.274071822
TSC1	0.024301715	0.909564144
GFI1B	0.051482098	0.93910766
BORCS5	0.354655317	0.433880206
DIPK1B	0.617783817	0.281055992
DDX21	0.142413912	0.674738746
OR4K2	0	1
PIP4P1	0.582649306	0.172006506
METTL17	0.188125232	0.318079607
SLC39A2	1.154611031	0.65553715
RNASE7	0.675727493	0.686484004
NSMF	0.001395289	0.992766875
C12orf50	1.634939677	0.56127339
CASP7	0.102174849	0.718977216
BTNL9	0.322937677	0.638633165
CCDC186	0.834243922	0.081567934
METTL3	0.209583298	0.365459952
ERICH6B	0.832680698	4.53E-01
CYP2C19	0	1
FRAT1	0.519185377	0.215673572
ANKRD2	0.03453593	0.9612566
ARHGAP42	0.099930615	0.848001813
LARGE2	0.008118525	0.989747988
AGBL2	1.705039174	0.005464263
TC2N	1.343887894	0.021940087
SMCO2	1.451890371	0.644970208
MOAP1	0.476963236	0.140292494
SERPINA12	0	1
CLMN	0.099509254	0.866528642
PDZRN4	0.341642639	0.679528865
NELL1	0	1
C1QL3	0.678143387	0.377120405
CACNB2	0.026304375	0.957222455
CEP295	0.577399642	0.163484663
KCNC2	0	1
TAF1D	0.385504764	0.314786383
R3HCC1L	0.165563959	0.575306016
HTRA1	0.179024576	0.727934507
LIPC	0.046461572	0.941814304
CEP57	0.26632909	0.445467651
TCP11L2	0.674157307	0.141688059
PASD1	0	1
IL25	0	1
GLB1L3	1.570719253	0.080189721
ADAMTS15	0.133417586	0.789583889
SVOP	1.33284516	0.583661769
SPATA19	0	1
RAB8B	0.401290943	0.37433442
RPUSD2	0.642729093	0.078965605
HIF1AN	0.033269383	0.878048423
NDUFB8	0.212583487	0.422679978
AVPR1A	1.120234974	0.10411019
C16orf78	0	1
DEPDC4	0.077819239	0.893288703
LRTM2	0.446715537	0.655728875
OPN1MW2	0	1
BRD7	0.595430489	0.021977469
BTRC	0.426538511	0.083260063
BAG5	0.285706337	0.20758334
DPCD	0.109882621	0.771440146
LARP6	0.26713633	0.623714939
API5	0.184071079	0.370197015
ZNF319	0.430059606	0.14589135
NOLC1	0.169457615	0.414040247
FRS2	0.195846964	0.574644799
ARIH1	0.260941148	0.416842613
C16orf71	0.437126701	0.540813372
CLMP	0.549265585	2.66E-01
COX11	0.043411887	0.88334453
ZNF202	0.430601198	0.131031954
FAM227B	0.301458332	0.566914102
STXBP4	0.021769897	0.95492708
CUL5	0.149598306	0.687965968
BORCS7	0.025208543	0.948652905
PLEKHF1	1.492700517	0.002874635
TMEM100	1.2201378	0.104543445
ANAPC16	0.174273898	0.270090622
APBB1	0.199440994	0.368431877
SYNPO2L	0.206117368	0.8618944
NUDT13	0.239117743	0.564339921
C11orf65	0.579575625	0.268375944
CCDC182	1.073133602	0.734212551
ILK	0.521474438	0.311425795
TAF10	0.218564654	4.97E-01
NETO1	1.803948889	0.382820176
MSS51	0.359562302	0.437667955
POTED	0	1
WDR88	0.134012295	0.807243747
OR10A5	0.495355393	0.875464745
OR2D2	1.073133602	0.734212551
SERPINB7	0	1
GARRE1	0.254517803	0.258672899
RIC3	0.682544455	0.32494568
WDR72	1.07012576	0.630571997
ZMAT1	0.355552987	0.48146171
XRRA1	0.094799961	8.24E-01
TRIM66	0.621616213	0.022605371
RNF169	0.265077122	0.305042269
RPL27A	0.291303775	3.46E-01
TMEM130	3.179867022	0.230320921
ATMIN	0.281888943	0.112454637
C16orf46	2.561138419	0.120254204
LEO1	0.42604256	0.071168506
ZNF143	0.47131562	0.074789474
TMX3	0.015726452	0.967659835
MFAP4	0.309777367	0.454427186
PRKCB	0.7554182	0.18024863
HDGFL3	0.308633415	0.294277301
NDST2	0.505755978	0.324914496
MCM7	0.322123345	0.419438033
CLEC3A	1.132448093	0.663745889
CCDC68	0.405347017	0.547702437
CLEC4E	0.209258891	0.73610814
ZNF3	0.700098111	0.00900153
CLEC4D	1.031086956	0.148865563
ZSCAN21	0.804512114	0.020373429
RIMKLB	0.208402657	0.503906656
A2ML1	0.498383037	0.685094413
SLC38A8	0.646509926	0.315471922
NDEL1	0.452370621	0.25639988
CENPV	1.081851782	0.00055234
CFAP52	0	1
MC4R	0	1
BLCAP	0.024139779	0.919856298
SERPINB12	0	1
ATF7IP2	0.157643596	0.509639256
TVP23A	0.443080328	0.267697686
ZNF606	0.132165541	0.694172058
ZCCHC18	0.236534943	0.792153189
B2M	0.20482362	0.601570057
ZNF592	0.162796281	0.610368449
GOLM2	0.015344964	0.96118411
HTR3A	0.943589198	0.359323122
ACSM1	0.597215063	3.39E-01
AP1G1	0.235514542	0.467153422
SLFN5	0.303082171	0.599911031
CATSPER2	0.118850159	0.749550369
BMERB1	0.213124858	0.554331255
MARF1	0.608043634	0.040203967
SAAL1	0.252346735	0.337204528
YPEL4	0.768956197	0.06929395
LDHC	0.442653368	0.457078472
LDHAL6A	0.467574632	0.598445474
FAM111A	0.113040999	0.550886146
PCLAF	0.033263505	0.966249313
PLIN1	0.478078029	0.73549681
TMEM170A	0.015053137	9.62E-01
ANPEP	0.642603492	0.277010586
SCNN1G	0.85269817	0.761001388
NAV2	0.177436548	0.802317576
TERF2IP	0.287834831	0.143242437
CLPX	0.055049281	0.837342511
GPR182	1.445347507	0.120892358
ZBTB39	0.94604834	0.01607126
CACNG2	0	1
TAC3	1.426726446	0.408144803
CHP2	1.570509797	0.142316177
NAB2	0.028584532	0.914472435
PATL1	0.003706499	0.990294762
ATP23	0.433438175	0.469467313
STX3	0.634879547	0.145175422
PIP4K2C	0.163823553	0.444140709
MTMR10	0.277740793	0.371246343
MS4A5	0	1
DIS3L	0.085313198	0.726107987
CCNDBP1	0.247704938	0.261862707
EPB42	1.304238207	0.182079837
MAP1A	0.010586071	0.97965742
AKTIP	0.71061675	0.084546143
MAPRE2	0.259270674	0.216830077
EVA1C	0.787661653	0.079003272
MBD6	0.036494033	9.06E-01
CNPY4	0.379682599	0.127166805
TERB2	1.132331454	0.71777855
SGSM1	1.949578712	1.30E-02
MEI1	0.841554806	0.340277345
B4GALNT2	0.495355393	0.875464745
GNGT2	0.268367811	0.685410282
TTC16	1.787472982	0.00339241
SUN5	0	1
SAMD14	0.053590743	0.890663856
PIP5KL1	0.811759079	0.230835573
BPIFB6	0	1
TMEM92	1.720827649	1
FAM102A	0.733945901	0.054497385
GOLGA2	0.068039807	0.784462563
ANKRD40CL	1.848567697	0.101646244
PRRX2	0.459659611	0.666195716
UGT1A6	0	1
C15orf39	0.421221579	0.487364988
ISLR2	0.972791629	5.04E-01
SP2	0.233528466	0.514298807
PRR15L	3.075855911	0.008035721
C16orf92	0	1
NOD2	0.023055585	0.971480088
SNX20	0.493609381	0.418968118
LOXHD1	0.445711644	0.499384724
KATNAL2	0.702872875	0.225535796
ZNF91	0.7492145	0.094360126
RNF214	0.063771872	0.851312115
CDK12	0.321589716	0.108949588
DPEP2	0.465535733	0.483452829
RBFOX3	0.073566874	0.893970242
ATP5MG	0.352003094	0.1729273
CD3D	1.494589332	0.029805015
TEPSIN	0.361606567	0.369224979
ART5	2.86907285	0.032773044
STIM1	0.314939834	0.406122805
RRM1	0.181092843	0.561178376
OR51E2	0	1
TRIM68	0.416523373	0.197880524
MMP26	0	1
OR51B5	0.004697284	0.998668577
OR51Q1	0	1
ZNF23	0.186284348	0.765537825
ZNF226	0.330796346	2.18E-01
ZNF180	0.482082131	0.104351051
PPP2R3B	0.000834821	0.998152016
ZNF668	0.216466124	0.449281266
ZNF646	0.260071907	0.480899078
VKORC1	0.455999472	0.220489953
GNG8	1.073133602	0.734212551
LPO	0.365357425	0.763061249
CA4	1.064352407	0.140806507
SMG8	0.108470342	0.619680995
TPM4	0.071855924	0.74705836
RAB8A	0.179961631	0.64994433
JSRP1	0.492888564	0.451092322
NIBAN3	1.106268918	0.136304789
KLHL26	0.355526059	0.380388874
GATAD2A	0.241650578	0.392761399
ANKRD11	0.26164007	0.466293155
SPATA33	0.524432081	0.175402499
RSKR	0.049454862	0.871634017
PROCA1	0.363614033	0.482997052
ZNF641	0.262593288	0.315849776
LALBA	0	1
CACNB3	0.516326633	0.111062904
DHRS13	0.514847345	0.334930904
KMT2D	0.085239434	0.765055527
RHEBL1	0.848244987	0.115433358
ZNF528	0.217124696	0.524704758
ZNF701	0.563235548	0.026841836
SERTAD3	0.114982602	0.647850555
ANKRD33	0.743952879	0.663780178
LAIR2	0.474907056	0.603966471
ZNF526	0.623708977	0.0137291
TRAPPC9	0.043786587	0.88153834
KIR3DL1	2.041364291	0.043640816
NLRP7	1.424238798	0.156735981
ZNF146	0.126775834	0.699124585
ZNF283	0.459962529	2.32E-01
PPP1R14A	0.054375117	0.922005059
C19orf33	0	1
LY6D	0	1
TMIGD2	0.979620169	0.174523807
CHAF1A	0.167939317	0.676879688
PLIN4	0.591865511	0.307060648
TLCD3A	0.085951156	0.828516135
GPT	0.30536218	0.544039666
SRR	0.016474575	0.950112607
TRPV3	0.398365715	0.64754761
GGT6	0.83394106	0.734220273
KLK1	0.484507247	0.510682651
KLK4	0	1
KLK13	2.157105431	0.106196651
ZNF83	0.223899409	0.557980748
KRT80	0.569287118	0.311050892
ACER1	0.058936383	0.969591245
SOAT2	1.657587557	0.175228017
CABP2	0	1
TBX10	0.326789947	0.803220275
OR8J3	0	1
OR5I1	0	1
ZNF232	0.267890663	0.494392485
MIS12	0.458008289	0.103921454
TEKT1	0	1
HID1	0.423286651	0.385380234
MRPL58	0.030834643	0.925341926
EVPL	0.559170956	5.15E-01
SRP68	0.072767687	0.657357752
TMC8	0.58804015	0.223807648
CYP7A1	2.127330519	0.493464846
KRT24	0	1
RAB26	0.12691677	0.763203171
E4F1	0.064886405	0.763254951
DNASE1L2	0.083834899	0.898605677
CASKIN1	0.684410759	0.581071706
SRRM2	0.175511784	4.07E-01
ZNF597	0.15009672	0.624606047
NLRC3	1.374235781	0.024005831
ATG16L2	0.435948677	3.01E-01
C2CD3	0.364970983	0.192062311
TRANK1	0.553988991	0.110743739
ULK4	0.073019863	0.772944075
NAALADL1	0.15926764	0.745176146
SF1	0.361668021	1.66E-01
MAP4K2	0.731990449	0.067383282
CCDC88B	0.353501072	0.481753442
SCARA3	0.431718445	4.80E-01
SCARA5	1.234275491	0.173552201
PNOC	2.128626087	0.149934425
PAFAH1B2	0.095938126	0.591614526
ANKS3	0.015509946	0.94648862
KIAA1586	0.187498202	0.67927839
OR1F1	0	1.00E+00
OR2B2	0.495355393	0.875464745
SETD5	0.226175894	0.284507863
VASN	0.262613248	0.467261262
H3-4	1.071924042	0.734502592
THAP9	0.408521119	0.391013338
OR2C1	0.495355393	0.875464745
MAPK1IP1L	0.301353782	1.18E-01
DDIT4	0.165463128	0.652804195
RBPJ	0.024443054	0.953921305
LMBRD1	0.058254268	0.803012454
ZCCHC4	0.093815884	0.733057246
PTGDR	0.611907829	0.40417155
TTC39C	0.356402907	1.97E-01
GLYCTK	0.06237335	0.866574024
POLR2J3	0.397759017	0.36427705
DNAJC7	0.017999031	0.925007806
IRF2BP2	0.166562228	0.672036486
PTF1A	0	1
FOXI1	1.154475832	0.420889336
KIF5C	0.849927584	0.075083341
BMI1	0.011522125	0.972470616
PDHB	0.10026763	0.714499881
PXK	0.629885901	0.14476112
PCMTD1	0.498964146	0.098949073
MPLKIP	0.079985686	0.765060751
FAM107A	0.574617035	0.490360713
IRF2	0.134796436	0.610224168
MOBP	1.164718609	0.446713834
CX3CR1	0.487448123	0.407316485
PPDPFL	0	1
DEGS2	0.968655666	0.072055304
FILIP1L	0.689085932	0.134298471
ING5	0.151723316	0.401935432
ATG4B	0.094198223	0.636667691
BDKRB2	0.082294021	0.931670374
RFWD3	0.417839294	0.264137942
MTNR1A	1.210905377	0.496008752
RHOH	0.737815395	0.333285112
CDC40	0.049803217	0.807432161
SCNN1B	0.135652255	0.951731729
HR	0.099786065	0.890611569
TXNDC2	0.864845261	0.307811345
RAB31	0.079613645	0.774331386
LGI3	0.354176753	0.832124622
PHYHIP	0.031250013	0.967907232
CCDC110	0.218879584	0.862734034
POLR3D	0.149247938	0.387866357
CAVIN2	0.081453096	0.894360671
MTCL1	0.102400382	0.871487642
HJV	0.979500333	0.668003825
SCGB1D1	0	1
HEXIM2	0.038440164	0.916190971
FNTA	0.368731698	0.099107441
MYL1	1.073133602	0.734212551
CDKN2AIP	0.505751659	0.140011529
SNRNP48	0.348753268	0.315458186
TMEM223	0.155669965	0.59490735
