"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LINC02693",0.743370190112968,6.12748275153976,2.32363852465041,0.0400388030551798,0.34901776224915,-3.84542060951331
"IGHV2-26",2.60590857306423,3.17092428710904,2.32363158528368,0.040039294753957,0.34901776224915,-3.84543160208566
"TINF2",-0.755226535734002,10.2899962094924,-2.32294745982997,0.0400877980234838,0.34901776224915,-3.84651526900403
"RNU6-824P",1.2,1,2.32264459352079,0.0401092887822144,0.34901776224915,-3.84699498397177
"PDE6B",-0.964175947089283,6.35737200056459,-2.32261215100062,0.040111591493763,0.34901776224915,-3.84704636910063
"SMIM14",-0.709570564284949,10.9007504214854,-2.32231889540141,0.0401324120288799,0.34901776224915,-3.84751084160421
"TMEM98",-0.897949907056889,10.1314672324813,-2.32225323641742,0.0401370751064566,0.34901776224915,-3.84761483308114
"ARL5C",0.916992500144231,0.458496250072116,2.3222155184883,0.0401397540564311,0.34901776224915,-3.84767457078368
"CHRNB3",0.916992500144231,0.458496250072116,2.3222155184883,0.0401397540564311,0.34901776224915,-3.84767457078368
"CT55",0.916992500144231,0.458496250072116,2.3222155184883,0.0401397540564311,0.34901776224915,-3.84767457078368
"DMBT1L1",0.916992500144231,0.458496250072116,2.3222155184883,0.0401397540564311,0.34901776224915,-3.84767457078368
"EEF1A1P24",0.916992500144231,0.458496250072116,2.3222155184883,0.0401397540564311,0.34901776224915,-3.84767457078368
"FGF8",-0.916992500144231,0.458496250072116,-2.3222155184883,0.0401397540564311,0.34901776224915,-3.84767457078368
"GXYLT1P4",-0.916992500144231,0.458496250072116,-2.3222155184883,0.0401397540564311,0.34901776224915,-3.84767457078368
"IGHV3-41",0.916992500144231,0.458496250072116,2.3222155184883,0.0401397540564311,0.34901776224915,-3.84767457078368
"KCTD9P1",0.916992500144231,0.458496250072116,2.3222155184883,0.0401397540564311,0.34901776224915,-3.84767457078368
"KRT18P57",0.916992500144231,0.458496250072116,2.3222155184883,0.0401397540564311,0.34901776224915,-3.84767457078368
"KRT18P7",0.916992500144231,0.458496250072116,2.3222155184883,0.0401397540564311,0.34901776224915,-3.84767457078368
"LINC00973",0.916992500144231,0.458496250072116,2.3222155184883,0.0401397540564311,0.34901776224915,-3.84767457078368
"LINC02223",0.916992500144231,0.458496250072116,2.3222155184883,0.0401397540564311,0.34901776224915,-3.84767457078368
"MTND2P40",0.916992500144231,0.458496250072116,2.3222155184883,0.0401397540564311,0.34901776224915,-3.84767457078368
"OR2H2",0.916992500144231,0.458496250072116,2.3222155184883,0.0401397540564311,0.34901776224915,-3.84767457078368
"PARD6BP1",0.916992500144231,0.458496250072116,2.3222155184883,0.0401397540564311,0.34901776224915,-3.84767457078368
"PHC2-AS1",0.916992500144231,0.458496250072116,2.3222155184883,0.0401397540564311,0.34901776224915,-3.84767457078368
"PPIAP54",0.916992500144231,0.458496250072116,2.3222155184883,0.0401397540564311,0.34901776224915,-3.84767457078368
"RNA5SP122",0.916992500144231,0.458496250072116,2.3222155184883,0.0401397540564311,0.34901776224915,-3.84767457078368
"RNU6-1099P",0.916992500144231,0.458496250072116,2.3222155184883,0.0401397540564311,0.34901776224915,-3.84767457078368
