"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CRB3",-0.938747775070897,8.75722356987329,-1.79981197877745,0.0988029115314522,0.374605366868077,-5.01269086631161
"DENR",0.574794055362045,9.88349369693323,1.79974185985198,0.0988145282372984,0.374605366868077,-5.01279464887545
"SLC30A9",-0.493166641359801,9.99295299383384,-1.79970379841308,0.0988208344508738,0.374605366868077,-5.01285098244848
"FBXO22",0.552431317587315,8.45773776344677,1.79968397075129,0.0988241197437781,0.374605366868077,-5.01288032851016
"ZNF273",0.66655051974138,6.08509505873464,1.79944145827259,0.0988643102368425,0.37471210087333,-5.01323924657661
"ADO",-0.462538695713752,8.82064410598341,-1.79890138251015,0.098953867827212,0.375005895599292,-5.01403846392779
"PKD2L2",0.98367724688927,1.82060986139958,1.79851718126674,0.0990176224513341,0.375156341978004,-5.01460693543665
"ANO7L1",0.581892634420111,4.84536669657628,1.79841107470545,0.0990352364131902,0.375156341978004,-5.01476392117
"ANKRD18DP",-0.811778737810714,1.23987436919382,-1.79837180395882,0.099041756178586,0.375156341978004,-5.01482202136858
"RPL37P23",0.811778737810714,1.23987436919382,1.79837180395882,0.099041756178586,0.375156341978004,-5.01482202136858
"CTU2",0.652177190629715,7.91158186388194,1.79827979111434,0.0990570337601843,0.375168575929475,-5.01495814964523
"EBF1",-1.33710752581853,6.71772421386265,-1.79811436891792,0.099084505422008,0.37522698514427,-5.01520287381753
"GAD1",1.7185661488109,3.04066119352715,1.79765639148277,0.099160597779264,0.375469481377223,-5.01588033818914
"ISL1-DT",1.34284910353322,1.67142455176661,1.79740446392526,0.0992024778075005,0.375582390142926,-5.01625296292702
"UBAC2-AS1",0.80887882387169,3.58127351575753,1.79716444587715,0.0992423929389168,0.375687833226096,-5.01660794609371
"MRPL34",-0.691055027336663,9.27671258574948,-1.79671399432721,0.0993173425931846,0.375914334854574,-5.01727408807769
"CD1D",-0.989501219870991,6.03968522852504,-1.7966352641219,0.0993304476092633,0.375914334854574,-5.01739050751546
"TSPAN4",-0.71891894914865,10.7828955796586,-1.79658724564737,0.0993384412818976,0.375914334854574,-5.01746151173885
"TRAV17",1.22585660338899,2.28089830227142,1.79606807126759,0.0994249058980835,0.376193680952636,-5.01822914178227
"PHYHIP",-1.9061311196015,4.47626044143252,-1.79599895273232,0.0994364222196901,0.376193680952636,-5.0183313285668
"LINC01143",-1.15097750043269,0.575488750216347,-1.79585234541314,0.0994608534919659,0.376240400600075,-5.01854806989795
"CPXM2",-1.84087686561485,7.63697105481998,-1.7956116878038,0.0995009695075535,0.376346433920225,-5.01890383252462
"NTMT1",0.649895715421709,7.79809955250595,1.79543390731636,0.0995306137475975,0.376412838486785,-5.01916662771357
