"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"HERC2P3",1.13914745254982,7.07283434526419,1.25106707529088,0.235164592771646,0.686878627847128,-5.26283177129556
"DHRS7B",-0.533927345593236,8.47890818640936,-1.25102712001849,0.235178657479794,0.686878627847128,-5.26287646679024
"ARFGEF1-DT",0.56959938131099,1.78317030992143,1.25099918667517,0.235188490732726,0.686878627847128,-5.26290771345967
"MRPS14",-0.554877204060325,8.59945777749482,-1.2509969376889,0.235189282447859,0.686878627847128,-5.26291022918769
"MIR34AHG",0.696693915155806,5.74122810553263,1.25087013114125,0.235233925861635,0.686900728610002,-5.26305207017927
"EIF4E",-0.522312803188028,9.33272909087439,-1.25084179638675,0.23524390230016,0.686900728610002,-5.263083762886
"MBD4",-0.455550524246258,9.06625774363755,-1.25080566216045,0.235256625361092,0.686900728610002,-5.26312417859871
"MEF2A",-0.682396567558397,10.0015497636086,-1.25073216103903,0.235282507212019,0.686918119378993,-5.26320638604713
"PDE6D",-0.48966732182274,8.06181094055286,-1.25034848809535,0.23541764644672,0.687209946750674,-5.26363544683452
"AIFM3",-0.532926051152201,4.96280123598931,-1.2503351887173,0.23542233193495,0.687209946750674,-5.26365031773477
"EIF4A2",-0.626504402299208,12.2874295669568,-1.25023008416245,0.235459363822426,0.687259851698782,-5.26376783780335
"STMP1",-0.420792744704972,9.16764655927598,-1.25014502313088,0.235489337111786,0.687276885481389,-5.26386294127273
"PRDM7",0.984566427895508,1.27366133306946,1.25010037297071,0.235505071885817,0.687276885481389,-5.26391286095694
"ANP32AP1",0.633985000288462,1.03398500028846,1.24996035340726,0.235554420416353,0.687345626249022,-5.26406939667682
"SBSN",1.10291463456595,1.7129283016945,1.24992040020707,0.235568503049608,0.687345626249022,-5.26411406018616
"FAHD2CP",0.683321325616339,5.89088200046781,1.24978512007142,0.235616191354581,0.68739628809876,-5.26426528130772
"GPRASP2",-0.811798004186119,7.04343223223703,-1.24975802106025,0.235625745096683,0.68739628809876,-5.26429557210431
"C19orf38",-0.93478508972422,6.75108236102367,-1.2496938009687,0.235648387093727,0.687404171320793,-5.26436735422128
"STAR",1.13107036572251,2.34691330198296,1.24957329102295,0.235690879832209,0.687469954423857,-5.26450204694651
"TRAV19",1.07457301202252,2.54616532988295,1.24920316853864,0.235821426209923,0.687761825907706,-5.26491566807418
"MIR4767",-0.60040383352733,3.31315046971372,-1.2491764714457,0.235830844812177,0.687761825907706,-5.26494549918605
"IMPDH1P5",1.25335730813898,1.82667865406949,1.2490234135744,0.235884848679906,0.687861129537393,-5.26511651555314
"SENP5",-0.456976210730989,8.81923084282975,-1.24874868428611,0.235981807051673,0.688074960713429,-5.26542343974925
"NPM1P39",0.881189020161907,3.00335074832436,1.248702540928,0.235998095244984,0.688074960713429,-5.26547498557114
"DDAH1",-0.835954032562656,10.1150896893872,-1.24854249756086,0.236054596092562,0.688141336913905,-5.2656537557298
"C3orf70",0.633844889218881,6.23781668354292,1.24852497307709,0.23606078349898,0.688141336913905,-5.26567332972098
"IGLV2-8",1.31937668401635,7.23138069770799,1.24838470026711,0.236110314590272,0.688227528974806,-5.26583000015282
"PPP1R21",-0.475830679315527,9.03531556727886,-1.24832603367941,0.236131032546047,0.688229727425806,-5.26589552083102
"PRPF3",0.550516435822876,9.15748778343118,1.24825465312042,0.23615624236898,0.688245016436573,-5.26597523775092
