"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"HSP90AA3P",-0.00582669330277487,0.0073312808542337,-0.508952354510462,0.623343365586356,0.878977466668111,-6.01782096628279
"PIP4K2C",-0.0582102058849571,0.1910648324847,-0.508870263209215,0.623398590773265,0.878977466668111,-6.01786411389714
"OR4K8P",0.00611722006017672,0.00305861003008836,0.508835348240391,0.623422079836875,0.878977466668111,-6.01788246340301
"TTI1",-0.0541307273550533,0.153353881055752,-0.508780279789188,0.623459128084098,0.878977466668111,-6.01791140213375
"SREK1",-0.0429216492971227,0.294983287079711,-0.508764465545596,0.623469767595939,0.878977466668111,-6.01791971204916
"ZNF652P1",-0.0169086296977512,0.0495514959661096,-0.508651130505288,0.623546019891052,0.878977466668111,-6.01797925914169
"SLFN12",0.0938366801473286,0.900978987170854,0.508645284039001,0.623549953547359,0.878977466668111,-6.0179823305813
"THAP5P1",-0.104113232369297,0.523233048701382,-0.508635296992543,0.623556673124202,0.878977466668111,-6.0179875771969
"RPL6P24",0.0502057554990983,0.384558171031457,0.508542226870396,0.623619295199365,0.879009295506387,-6.01803646619047
"TMEM126B",0.134496342082714,1.32964130447281,0.508362710025226,0.623740091866057,0.879088216054683,-6.01813074120171
"PSMA5",0.0644925768267631,0.550789890177329,0.508339994759632,0.623755377790987,0.879088216054683,-6.01814266811328
"DENND2B",0.104210475229435,1.2050986359378,0.50816003575786,0.623876485471525,0.879155473910209,-6.01823713994899
"ATP5MC2P3",0.00951685671835502,0.108364233844659,0.508150061168007,0.623883198459058,0.879155473910209,-6.01824237532075
"TRBV5-5",0.00978877979090643,0.013895906300504,0.508085860978023,0.623926406638111,0.879159925445781,-6.0182760698187
"RPS26P22",-0.0743845145039774,0.354055979046414,-0.508016882561284,0.62397283237155,0.879163546763965,-6.01831226763598
"ZFAT",-0.165931832913412,0.475396826678162,-0.507936391992826,0.624027008552863,0.879163546763965,-6.01835450084542
"COPRSP1",-0.0061019654033868,0.0030509827016934,-0.507865316330223,0.624074849790252,0.879163546763965,-6.01839178884504
"C15orf39",0.146407120828549,1.12062485873773,0.507830469213751,0.624098306169546,0.879163546763965,-6.01841006868685
