"ID","B_cells_naive_CIBERSORT","B_cells_memory_CIBERSORT","Plasma_cells_CIBERSORT","T_cells_CD8_CIBERSORT","T_cells_CD4_naive_CIBERSORT","T_cells_CD4_memory_resting_CIBERSORT","T_cells_CD4_memory_activated_CIBERSORT","T_cells_follicular_helper_CIBERSORT","T_cells_regulatory_(Tregs)_CIBERSORT","T_cells_gamma_delta_CIBERSORT","NK_cells_resting_CIBERSORT","NK_cells_activated_CIBERSORT","Monocytes_CIBERSORT","Macrophages_M0_CIBERSORT","Macrophages_M1_CIBERSORT","Macrophages_M2_CIBERSORT","Dendritic_cells_resting_CIBERSORT","Dendritic_cells_activated_CIBERSORT","Mast_cells_resting_CIBERSORT","Mast_cells_activated_CIBERSORT","Eosinophils_CIBERSORT","Neutrophils_CIBERSORT","P-value_CIBERSORT","Correlation_CIBERSORT","RMSE_CIBERSORT"
"E250042452_L01_250204003125020400311AA038B39J20",0.339165906591522,0.186936508335044,0,0,0.0278626670789008,0,0.0139318314219485,0.0380108733562688,0.0156367735779861,0,0.0761028090186315,0,0.0180677694539724,0.199145983776073,0.00804857315146545,0.0101416157320068,0,0.0669486885061807,0,0,0,0,0.001,0.487911082112465,0.875899007231308
"E250042452_L01_250204003425020400341AA037B39J20",0.586270010294033,0,0.149502293938158,0.0386204112889192,0,0.0280759810071765,0,0.025833586511782,0.000214436117883501,0,0.0408441064378869,0,0,0.0747054560453514,0,0.0210501679355947,0,0.0186589195878648,0,0.0162246308353501,0,0,0,0.621049420300323,0.793156094911866
"E250042452_L01_250204003725020400371AA034B39J20",0.417509293083342,0.0181144043311415,0,0.0785074386033467,0.035753863248625,0,0,0.0892316811455675,0,0,0.0385703741919968,0.0289025703527559,0.0869327932620159,0.0918798788048302,0.0112819706697423,0.0357729000526849,0,0.067542832253951,0,0,0,0,0.031,0.192048877677451,1.03699804148346
"E250042452_L01_250204004025020400401AA033B39J20",0.288358661821043,0.316859080721968,0,0.0319209131906446,0,0.0221128903084878,0,0.00321412224806362,0,0,0.15202782662675,0,0.0423247562052113,0.0894191382446975,0,0.0151535073025228,0,0.0173023202065039,0,0.021306783124107,0,0,0.00600000000000001,0.320914783113049,0.992546974607315
"E250042452_L01_250204004125020400411AA032B39J20",0.380513389920634,0.211296209605895,0,0.0658064798688605,0,0,0,0.112993766900356,0,0,0.0386804616949624,0,0.0692101618665594,0.0837396100178669,0,0.0110053762402486,0,0.0267545438846174,0,0,0,0,0.00600000000000001,0.329258673578537,0.987383118644581
"E250046465_L01_250204001125020400111AA046B39J27",0.398257507069384,0.243300307278949,0,0.0254551870530773,0,0.0839472464001016,0,0.0695545448196828,0,0,0.102451651361695,0,0.0352638053666561,0.0286394723958924,0,0,0,0.013130278254562,0,0,0,0,0.002,0.470705134040608,0.903241530898993
"E250046465_L01_250204001525020400151AA045B39J27",0.532404709868934,0,0,0,0,0.0894805886330295,0.0170302625285708,0.0409667377904101,0,0,0.056367413890575,0,0.0238706870222246,0.197942302779741,0.0153280411487607,0.00552084011454696,0,0.0153212061379833,0.00576721008522389,0,0,0,0.003,0.451697299774791,0.903916541722389
"E250046465_L01_250204003025020400301AA036B39J27",0.155064038350552,0.368926753782017,0.058295038539233,0.0022047794161099,0,0,0,0.037248865283581,0.0712165400385163,0,0.0962321264891504,0,0.00808284054800999,0.122588835613021,0.0457844906783153,0.034355691261494,0,0,0,0,0,0,0.001,0.493720143360353,0.873777314562032
"E250046465_L01_250204003325020400331AA034B39J27",0.0866829597679303,0,0,0.176465229037703,0,0.035677198514359,0,0.0651791045191005,0.0678608557635818,0,0.17494212855229,0.00680240042225233,0.0649440465513984,0.270103396999184,0.0285100072660063,0.0182797381434567,0,0,0.00455293446273787,0,0,0,0.002,0.467856329608766,0.883167400066545
"E250046465_L01_250204004325020400431AA039B39J27",0.660345400745691,0,0,0.0277515978935981,0,0.0585095095062492,0,0.0654272479247028,0,0,0.0381168069972049,0,0,0.0750869583981434,0,0.058951189906237,0,0.015811288628174,0,0,0,0,0.005,0.372147861739835,0.986019047069149
