"ID","MHC_IPS","EC_IPS","SC_IPS","CP_IPS","AZ_IPS","IPS_IPS"
"R.C2SD.FGD",0.889132990035998,0.818746089120214,-0.953807730958907,-0.446814298835325,0.30725704936198,1
"R.C2SD.LL",0.542312956537005,0.773945386245403,-0.888939014822739,-0.0204969725506091,0.40682235540906,1
"R.C3CR.JTL",0.844830511234969,0.916412344698981,-1.07941569445242,-0.572402829954483,0.109424331527043,0
"R.C3CR.SW",1.10222481332286,0.844778448868387,-0.867384649406566,-0.422868017420285,0.656750595364395,2
"R.C3CR.WXD",1.23101326291202,0.867486605426688,-0.806711802252659,-0.309609513365998,0.982178552720054,3
"R.C3PR.SYT",1.15997840394155,0.809904364140864,-0.741654663334811,-0.352872876172571,0.875355228575037,3
"R.C3PR.YWY",0.566101283203029,0.654781398933782,-0.890141280711919,-0.00279258870626992,0.327948812718622,1
"R.C3PR.ZHB",0.765481205614396,0.84235419758538,-0.92011608118247,-0.441246364865737,0.246472957151568,1
"R.C3PR.ZZ",1.01084477060192,0.861166885120011,-1.10842193715783,-0.514268806139899,0.249320912424201,1
"R.U.GSG",0.949481471330397,0.915127143155724,-0.905131523384123,-0.452254720152375,0.507222370949624,2
"R.U.LJS",0.923560042897528,0.814227211116466,-0.68719393708051,-0.118153670217748,0.932439646715736,3
"R.U.WYF",0.720959614784853,0.887760979858251,-0.94175512187916,-0.50171641763766,0.165249055126284,1
"R.U.XHB",0.733124883358587,0.682250847360558,-0.667231265204692,-0.0578476372574701,0.690296828256984,2
"R.U.ZCF",0.840369330860017,0.783160921490752,-0.893573719754367,-0.276869879686004,0.453086652910398,2
"R.U.ZYL",1.44624363004805,0.949900245329937,-1.15819238922335,-0.558453078063679,0.679498408090952,2
