"ID","T_cells_MCPcounter","CD8_T_cells_MCPcounter","Cytotoxic_lymphocytes_MCPcounter","B_lineage_MCPcounter","NK_cells_MCPcounter","Monocytic_lineage_MCPcounter","Myeloid_dendritic_cells_MCPcounter","Neutrophils_MCPcounter","Endothelial_cells_MCPcounter","Fibroblasts_MCPcounter"
"E250042452_L01_250204004125020400411AA032B39J20",23.3859047681429,14.53743873,61.3368143742857,1618.91013188778,2.94438021377778,151.707133077143,7.976956295,150.947194785429,162.598012912667,2018.8576157375
"E250046465_L01_250204001125020400111AA046B39J27",12.8491450725,12.07640269,20.8020273668571,667.236849522222,1.54101672588889,86.537331759,5.75176187833333,48.9959205154286,18.3084212780667,891.85940957725
"E250046465_L01_250204001525020400151AA045B39J27",48.1792741917143,2,43.7077509328571,782.146381414444,5.60512671411111,273.22452156,16.0312502983333,178.390053284286,62.2155467462333,1220.22838594475
"E250046465_L01_250204003025020400301AA036B39J27",354.315709175,98.92422877,180.964594032429,4568.74997739111,8.17966584444444,488.346677962857,19.27560967,802.608019454286,97.8367099326667,1046.664412085
"E250046465_L01_250204003325020400331AA034B39J27",125.638151572143,294.1065801,343.821758240714,422.945906112222,2.79692878011111,392.6820911,25.9214461,116.706786326429,56.9078927623333,2417.49229798463
"E250046465_L01_250204004325020400431AA039B39J27",12.7710513380714,10.49346928,42.2138240285714,1908.22474922222,4.59320795288889,171.104963,15.4230597733333,129.493463057429,61.0569374098,182.445244175
"E250046465_L01_250204004425020400441AA030B39J27",279.771177685,136.8764708,227.565255618,2545.50723712222,9.83570251633333,646.861984414286,43.1983657016667,181.072132081429,80.2527773856667,532.88072389875
"E250046485_L01_250204002825020400281AA037B39J28",45.98734619,65.34374785,68.1647311271429,466.832595717778,1.84189861088889,88.0786456828571,4.60465079183333,48.7291370713571,33.4902844547333,302.26246908125
"E250046485_L01_250204003225020400321AA035B39J28",84.1423002392857,21.96042656,48.1726884957143,5013.29863898333,11.0093747005556,344.263603651429,161.464043485,83.3893996115714,213.68351615,1801.8121037975
"E250046485_L01_250204003525020400351AA041B39J28",407.443000871429,285.0852769,214.450996918143,2101.25127116667,11.5538647075444,745.216566971429,84.6712165216667,310.887464350714,301.8356078277,1187.73974071125
"E250046485_L01_250204003625020400361AA040B39J28",15.0238913337857,0,39.140822755,2129.13557257778,3.05949873488889,125.024287028,3.807311265,112.498829873214,23.1931248766667,165.078455615
"E250046485_L01_250204004225020400421AA031B39J28",319.688373345,164.5929993,168.831955711143,3337.41051811111,12.7946909941111,575.291994271429,40.071614,288.764116837857,159.684296744,391.085671145
"R.C1CR.JSL",251.586662107143,169.9827432,315.108060158571,23633.3435274444,19.7872817662222,2256.20761937143,119.774022066667,399.589667753571,271.405891163,2785.02073138125
"R.C2CR.SY",59.9705558973571,13.67664238,154.461806023,1972.84857567556,28.0245027491111,492.660316151429,24.18784895,506.530934991429,452.698122342,5366.9272479675
"R.C2CR.SYZ",284.289616925714,136.5786131,278.446004258571,15757.3397935933,17.4255585114444,3767.32709162857,446.011024833333,302.146758999286,241.968760978333,4171.5062373775
"R.C2CR.WRN",137.699669767857,107.4196781,227.510407328143,8708.58378922222,16.2116575197778,947.710612114286,83.3253052833333,682.150802059286,243.145518874333,936.8785263875
"R.C2CR.ZJB",175.701951152143,66.37146305,259.152127892857,8695.11593147778,41.8038706306667,1236.02341231429,126.681924933333,767.304020473571,286.92282384,3363.101315175
"R.C2CR.ZJP",192.42658795,117.1873945,448.288239867143,9842.69793866667,36.5599850873333,2896.4634073,125.38077885,530.409402247143,314.259223274,7960.781998175
"R.C2PD.WXN",88.47330064,50.02100527,182.134742515429,9629.29829466667,15.8609321186667,957.716272442857,49.0984550333333,734.0926985675,197.807807323333,1962.5114649125
"R.C2PR.AKX",225.298620711429,158.7913606,333.702730967143,9558.61890204333,19.9408171315556,2800.55296147143,105.62073645,375.059982655714,243.612113312,5180.78099471375
"R.C2PR.CYF",229.44845869,287.6535451,484.899888171429,12761.6346267778,23.7578678401111,1163.95282387143,93.3802334166667,432.967475083571,370.156117412,16003.325226
"R.C2PR.CYP",253.421356235714,180.3142708,368.540534026857,3558.01568667222,25.5953825,1374.12270758571,102.487729366667,553.337137351429,206.751794565667,1984.93060793625
"R.C2PR.WY",368.554522556429,75.87967285,221.095664623429,7157.14218272222,38.8525983884444,1546.30435781429,184.558004716667,675.231421045714,451.212294062667,24296.0556517875
"R.C2PR.ZJ",87.0035836728571,38.90478916,154.201004084143,12657.8836636667,10.7667130362222,823.761935528571,45.1824385333333,546.557153721143,225.528285258667,1489.61670733875
"R.C2PR.ZXN",252.16573082,96.49422553,205.412995165429,23395.2511831111,52.6437891884444,1138.2902091,72.78720455,582.027952607857,826.972572958333,3858.9169947375
"R.C2PR.ZZL",422.320674585714,407.5559945,600.938082981429,4168.62782551444,19.9185970154444,5332.30504972857,366.7017875,543.988647577143,297.04164901,18844.9550166063
"R.C2PR.ZZS",107.138391385,85.02871085,245.651027730714,2314.12609591889,22.5939992635556,959.017571428572,84.2657500833333,621.374107709071,121.008209075667,732.6019432525
