"ID","T_cells_MCPcounter","CD8_T_cells_MCPcounter","Cytotoxic_lymphocytes_MCPcounter","B_lineage_MCPcounter","NK_cells_MCPcounter","Monocytic_lineage_MCPcounter","Myeloid_dendritic_cells_MCPcounter","Neutrophils_MCPcounter","Endothelial_cells_MCPcounter","Fibroblasts_MCPcounter","StromalScore_estimate","ImmuneScore_estimate","ESTIMATEScore_estimate","TumorPurity_estimate","Bcells_EPIC","CAFs_EPIC","CD4_Tcells_EPIC","CD8_Tcells_EPIC","Endothelial_EPIC","Macrophages_EPIC","NKcells_EPIC","otherCells_EPIC","MHC_IPS","EC_IPS","SC_IPS","CP_IPS","AZ_IPS","IPS_IPS","B_cell_TIMER","T_cell_CD4_TIMER","T_cell_CD8_TIMER","Neutrophil_TIMER","Macrophage_TIMER","DC_TIMER","B_cells_quantiseq","Macrophages_M1_quantiseq","Macrophages_M2_quantiseq","Monocytes_quantiseq","Neutrophils_quantiseq","NK_cells_quantiseq","T_cells_CD4_quantiseq","T_cells_CD8_quantiseq","Tregs_quantiseq","Dendritic_cells_quantiseq","Other_quantiseq","B_cells_naive_CIBERSORT","B_cells_memory_CIBERSORT","Plasma_cells_CIBERSORT","T_cells_CD8_CIBERSORT","T_cells_CD4_naive_CIBERSORT","T_cells_CD4_memory_resting_CIBERSORT","T_cells_CD4_memory_activated_CIBERSORT","T_cells_follicular_helper_CIBERSORT","T_cells_regulatory_(Tregs)_CIBERSORT","T_cells_gamma_delta_CIBERSORT","NK_cells_resting_CIBERSORT","NK_cells_activated_CIBERSORT","Monocytes_CIBERSORT","Macrophages_M0_CIBERSORT","Macrophages_M1_CIBERSORT","Macrophages_M2_CIBERSORT","Dendritic_cells_resting_CIBERSORT","Dendritic_cells_activated_CIBERSORT","Mast_cells_resting_CIBERSORT","Mast_cells_activated_CIBERSORT","Eosinophils_CIBERSORT","Neutrophils_CIBERSORT","P-value_CIBERSORT","Correlation_CIBERSORT","RMSE_CIBERSORT"
"AD001",16.1226359154502,5.55455297330741,10.664238697727,15594.8605936636,0.700654967412589,25.5439970816497,12.1808405782776,13.8870652317689,21.5232415042958,788.385363893822,1328.62965976047,3069.58511837064,4398.21477813111,0.314758503687383,0.187979168652015,0.439182534109587,0.119451769339818,3.84186194746508e-07,0.16784568311547,0.0476253057923125,0.000100906063412219,0.0378142487411905,2.77043548681883,0.807434458013771,-1.21898952359203,-0.292081268758343,2.06679915248223,7,0.143245363914631,0.145089129176665,0.198551529888185,0.103113148942814,0.0638996938118382,0.426584801023419,0.0722653502161654,0.0459996979602385,0.0594670338528973,0,0.0163617268934647,0.00412788356725125,0.0924981077379534,0.0354983270351719,0.022980116503217,0,0.650801756233641,0.070031658332689,0.0585544179683516,0.235705150595666,0.103543796658888,0,0.233721278910311,0.0273905953368086,0.00996037406096632,0.0391287058762373,0,0.00879597251192078,0.026327409591004,0.0141845890926772,0.0276061031378749,0.0216415019703427,0.0816537763937036,0.00783276869399317,0.00218107263923197,0.00236056385190941,0.00713727350917816,0,0.0222429908682462,0,0.447165409663171,0.895800315870986
"AD002",9.19295688595225,1.4632017895566,2.80947775568295,1198.18406012593,0.128076093509149,34.4946643139069,68.6797335369554,15.6677593426261,12.2195385651511,186.307230900542,-9.34891583026782,2117.98319615468,2108.63428032442,0.610178656648898,0.0124183525863822,0.0647197441447144,0.045195573830984,5.88770962359764e-06,0.0181731300125895,0.0406818016618143,3.41661853163003e-09,0.818805506637273,2.87142672738277,0.584734326890629,-0.991466402470976,-0.391008459251601,2.07368619255083,7,0.160175188979733,0.138474875275457,0.136796230567544,0.0814621702097193,0.0310962550506552,0.56077022522828,0.00429369162901965,0.18181545395888,0.0952201281584328,0,0.0438296536290457,0.00570846346219795,0,0.0110890474559242,0.0702758123476883,0,0.587767749358812,0.00751774552355164,0.0238658143869594,0.0334736328702977,0.053474285050639,0,0.188337576848106,0,0.038919457524831,0.0854466830371442,0,0,0.0533025065449919,0.00875850949260851,0.00126217835127571,0.0145913745922929,0.130175575021371,0.214807925237058,0.0510007695960026,0,0.0763301882280522,0.00353032261438891,0.0152054550804291,0.03,0.13559121988866,1.02699730032768
"AD003",11.2486199759815,3.13676974896377,6.56858062269005,15131.2225948304,0.436917811344385,16.2818875690594,4.48496820160544,7.51248474761824,4.20032468575659,392.147789779374,346.330595475521,2309.54539574919,2655.87599122471,0.544637931732083,0.109448124223065,0.194543696987055,0.0930296285589889,3.36400448836612e-07,0.020171744064082,0.0408575066728969,2.4943354717393e-06,0.541946468757992,2.49730181513918,0.761164679666387,-1.00522156827725,-0.290623076097993,1.96262185043032,7,0.11763554315248,0.116021068845159,0.195341304942919,0.10516489069008,0.04752667100991,0.437619697036644,0.0282521493656516,0.0444869895364777,0.0259771816828721,0,0.00384802200450868,0.00603486989886323,0,0.0239965679718239,0.0287982964740528,0.000800960305370806,0.837804962760379,0.0168138999591916,0.0378396599748128,0.192200734970451,0.116066325251838,0,0.0679934873066909,0.0243261043009714,0.0332264752046795,0.0666434400771816,0,0.0160291934427927,0.000344247460559115,0,0.229852237465811,0.0454928182249382,0.0910418786237891,0.00119463015202489,0,0,0.0390642341625436,0,0.0218706334217249,0,0.355831410382614,0.939105488637975
"AD004",4.95861899152036,1.17930875912924,7.29325471895261,5636.03459011695,0.125022645278025,8.30009435665047,2.71041787737539,2.76302498443605,4.2015233507684,123.774891992836,-351.087158948919,1911.90955151567,1560.82239256675,0.671846189726377,0.0152884364716769,0.0123742024881485,0.0172350650801657,0.0127119785298444,0.0192256823011904,0.0224312589849844,0.00372492342038039,0.897008452723609,3.07162380800307,0.493980114375756,-1.03142758275204,-0.422658252325101,2.11151808730168,7,0.0741015555065875,0.150177296989631,0.173012039890413,0.0849653340363714,0.0678430648903193,0.481473270675581,0.00233912352997682,0.0641014234356574,0,0,0.0496176627691338,0.00560730658727325,0.0194672721136363,0.00483882267297806,0.0076271222152725,0,0.846401266676072,0.0338296234882242,0,0.0791868628737889,0.0760046926493412,0,0.049088118647492,0.0409897174817171,0.0327742462638057,0.0333478856906623,0,0.0268682702450103,0.0276515532387011,0.021703689226176,0.177046747837933,0.026432863018545,0.0856094373409223,0.0338851007750279,0,0,0.187349503660584,0.0484078330211247,0.019823854540944,0.03,0.155919291319296,1.02711445091718
"AD005",6.56210778984168,0.743171169871236,7.74263770767467,4339.71340457436,0.840993605162321,13.1794216590131,3.48291052168497,12.1117782902904,9.72878883821475,532.121587388829,61.364454916366,1690.6013114365,1751.96576635287,0.650802459420952,0.013607422783721,0.162559784236029,0.0433122769298513,6.02079287446497e-08,0.0228046575954479,0.0203650217794945,0.00229238288811319,0.735058393579415,2.87185636661076,0.617287495604812,-0.970584470305743,-0.426332556464791,2.09222683544503,7,0.0752165508066511,0.114026609429468,0.196112237264815,0.133721577896417,0.0352594444358173,0.467336691829722,0.0150195633236845,0.0505773514910813,0.0200781124448673,0,0.0495272805206199,0.0144240174449167,0,0.00649097893391376,0.018368665539448,0.00618043343109345,0.819333596870375,0.00971010762962641,0.00841816886994851,0.0744314129605385,0.0784993954103931,0,0.297622681936051,0.00524433018494296,0.053295723779455,0.0268759904433749,0,0.0365094281799847,0.0690152014678595,0.0201543217271979,0.0440696312674122,0.0459488906749746,0.0825844073454673,0.00805669857760483,0.0135882915593024,0,0.0602459250644328,0,0.0657293929214339,0.03,0.122985023489596,1.04628001351487
"SA001",18.7178023511592,4.14180001682478,11.1561691658747,5802.95454549098,1.42362703503037,22.3533707227174,18.2908792558586,19.2077456690261,53.0653072441861,496.853987405541,1576.82843962701,2838.98192207892,4415.81036170593,0.312305909482073,0.0935790532791519,0.126014621153982,0.127733817634705,5.33441767673744e-07,0.311631379604078,0.0339460072763874,3.92029798019588e-08,0.307094548406948,2.79191512010631,0.752854890128932,-1.18721092540431,-0.360252874972771,1.99730620985817,7,0.147269533492325,0.144520663615693,0.216536974847548,0.108781698375668,0.0680430896546895,0.485590890995526,0.080300179068112,0.235319900382617,0.0146867366423885,0,0,0.00543727898562208,0.0338055204564576,0.0414438188965631,0.0634445314992929,0,0.525562034068947,0.0714680917506488,0.0379999911627194,0.153679386320692,0.0863020472903987,0,0.261726057320216,0,0.0425102964195372,0.0112470089797399,0,0,0.0603194888364242,0.0127028222809874,0.0568943902248515,0.0545981164399019,0.0684321705070195,0.00425819753828261,0,0,0.0517577666646048,0,0.0261041682639762,0,0.354263397288342,0.940750616521313
"SA002",16.2379401014315,1.07815306284783,6.26223521501384,7576.57996692935,0.790716438342631,24.8365998602121,25.4478758397951,19.1721913417637,66.2869567654591,317.008371032329,1639.39831181451,2696.45277752608,4335.85108934059,0.323434165073105,0.0455532262886292,0.0847285000233593,0.134158510721241,2.18713122295677e-07,0.338717664524859,0.033882203326813,1.39151498963232e-07,0.362959537250477,2.84048988417178,0.746266115847979,-1.23711322997713,-0.30745862073296,2.04218414930967,7,0.0922921061848118,0.112837978102632,0.245541449170354,0.133390149545053,0.0354041711453784,0.50347955501598,0.0138252833034278,0.703282358222752,0,0,0,0,0,0,0.140529488093476,0,0.142362870380344,0.0121568123921339,0.0322549959199846,0.118146680760373,0.0634454625693076,0,0.258874091376163,0,0.0367412248555526,0.025084499021885,0,0.00974712115965136,0,0.013935233733541,0.0376726016750729,0.0560456352025505,0.0902233718226192,0.0324240403450016,0.00264489112814268,0,0.175459684804473,0.00202921456368718,0.0331144386698607,0.02,0.234911347775306,0.99121702491229
"SA003",12.9408706056027,2.38745482600683,13.9337007335766,11019.6241947991,2.05325679134897,17.2484426534275,8.14962999344208,217.403982497168,5.61504281964344,130.283581002471,603.468455705763,3766.24295935132,4369.71141505708,0.318727036796431,0.156409015801221,0.0548135181732367,0.0207238261816861,3.64102319947687e-08,0.0287440604049496,0.210591992287308,0.00800663933123849,0.520710911410128,3.41304218482959,0.814295037323913,-1.82444301188645,-0.495534675071538,1.90735953519551,6,0.0514950780152647,0.0774923623111005,0.176308656887496,0.437619940662342,0,0.456714678508909,0.0182697897214034,0.111747080432882,0,0,0.393327869317533,0.00127667527977345,0,0.00942122372148782,0.0239213763256725,0,0.442035985201247,0.0207843603598542,0.00445042187406396,0.11657351878032,0.0348980051496512,0,0.0414460243211196,0,0.0143225400438399,0.0292408412022332,0,0.0290414095396452,0,0,0.0328108896985336,9.40860432351891e-06,0.0250308876829961,0.00783664108416176,0.0105543944880083,0,0.194876679209271,0,0.438123977961978,0.02,0.162215735083391,1.09421029198952
"SA004",1.56516318229482,0,0.761261004115379,54.3944371449086,0.50287709104907,30.4873160250026,17.8757581518039,34.5072520376351,15.8515478015052,161.190816248346,-500.8159272742,949.26233460012,448.44640732592,0.783315965675813,0.00287460286784326,0.0427399595741017,0.0727762672099531,0.00111409054596775,0.0322530322412239,0.0208990773379648,9.31882554175608e-07,0.827342038340391,2.03113649502685,0.359789991314568,-0.799239525391874,0.158496066250409,1.75018302719995,6,0.0929899573161231,0.115950068163102,0.185167385614878,0.0960324701758496,0.0675355921222505,0.454796121958297,0.00820580058006311,0.0444860825081692,0.117598950957173,0,0.0227597879894236,0.0139060779455247,0,0,0.00772882391133156,0,0.785314476108315,0,0.0519382542680509,0.0183083250269217,0.0373939548001599,0,0.189467441281076,0,0.033315571394611,0.0011526837193444,0,0.0372699698735181,0.0394624091269107,0.0902872210411743,0.124944028221353,0,0.226069777794348,0.0823505140709017,0.0405440656827332,0,0,0.00584190883294307,0.0216538748659536,0.02,0.20977818869824,0.998208660529203
"SA005",9.65536398524314,1.00079637533552,3.30708896037893,1224.05733853089,0.707879223862027,31.4786582671504,29.3610133270545,27.4280378938485,37.6907807903772,449.484622350817,663.444465593674,1366.87939834948,2030.32386394316,0.619245264175991,0.0128934814909614,0.133680478254289,0.111642620485685,7.88355839617822e-08,0.154366204996677,0.0201028220226751,8.32379250737529e-08,0.567314230676204,1.97421003451672,0.519133506802722,-0.858716131945031,-0.0422552557477496,1.59237215362667,5,0.0984568171522412,0.123687727359228,0.204880939284911,0.0952550038419268,0.0816898604536448,0.43938964306753,0.0192601740506841,0.0593364930813223,0.116645636945282,0,0.0193422169650014,0.0100190656148936,0.0360979990769771,0.00798012054009376,0.0379009012702442,0,0.693417392455501,0.0844975868661658,0,0.0346542350222712,0.049981046567676,0,0.370930444120221,0.0113507249976479,0,0,0,0.022667729039135,0.00866764636533534,0.0189030010255509,0.110452656055139,0.0191365575403355,0.220560489892358,0.0114740288270233,0.00519325024844638,0.00621562310174928,0.0150223270536612,0,0.0102926532772843,0.02,0.176090804779822,1.01743542949716
