"","NM001","NM002","NM003","NM004","NM005","TB001","TB002","TB003","TB004","TB005","AD001","AD002","AD003","AD004","AD005","SA001","SA002","SA003","SA004","SA005"
"AAMP",135.018323904464,107.220307069267,76.8333345456768,85.5435890299871,123.562762666619,110.642395194065,115.434193318007,93.8408079761254,83.892018591829,102.554387177283,82.4851533757628,144.530983321384,92.4663487856876,131.976252548722,125.216214102315,100.441014761922,82.3765826422264,49.400354159082,298.329976899066,235.859863062185
"AANAT",0.190134331017769,0,0.0475684004765405,0.0227154236389841,0,0.144276096339176,0.108650908470757,0.124614415597783,0.313759704955135,0.208930043063814,0.163456375778939,0.0283638071103338,0.410437197400281,0.139375980034796,0.833501021465254,0.353921622538968,0.118798477588703,0.690549674335794,0.0818671607675149,0.251426485614952
"AAR2",39.5279892167109,29.0822843407729,28.6094959977906,20.0688001137364,30.8493803850893,36.1765507794548,27.9112714777345,14.7024773211096,20.1239499231278,24.8519182195481,21.186816669002,34.388626980181,23.0077266350306,9.30171437523912,26.4004810736487,26.1039855564594,26.3808306972181,9.6143345039674,39.8718129095684,39.685495703211
"AARD",5.55979009320925,6.50083735080258,2.27132364248351,4.18717340219884,6.51598615535085,2.24292337285731,0.563030809849335,0.0691879252031342,4.11755920887116,3.44689624453774,1.55577609271667,0.251968660981891,1.21536706554496,0.0884386090187741,0,2.55453860772779,3.29794114999631,1.24149954545424,0.272723776070569,2.51272842192926
"AARS1",81.6706197369012,70.8717280186621,29.2781501616793,37.4959268968178,79.4741045282406,65.1565098489373,74.0191966540623,49.306916567484,71.2362857495264,74.0565762102603,70.3608586981887,125.914148107593,72.4136942159742,130.524341718019,101.700003577327,76.6658172627136,75.0949916457256,26.3867279567949,133.926780767216,143.233791205583
"AARS2",10.4728976529183,6.05049382220371,2.87910977385804,3.44807778041425,7.58664797864893,6.95820511033254,9.63809055745729,4.19020678430008,8.90608775257159,9.31934395798239,8.23320664292482,10.0824336694921,7.29487018823521,3.73012711349058,16.3889971241827,9.23724742330557,7.21889177939694,3.72783570418304,17.2247516923603,15.3385348157786
"AARSD1",0.244293807125861,0.455874452729988,0.550063685510541,1.13824922816437,1.56403623198593,1.89080382256869,6.84039780117711,1.80124473454978,1.6491832425741,0.805330347809611,1.89015009082555,0.327988751312223,6.41608693633005,1.84193502965465,3.74822883592254,2.50104613260871,1.71717799423671,4.4362585139148,6.15343350205285,8.39916841642192
"AASDH",6.42897786131704,3.71229692773803,1.80264626398128,3.58240619137543,3.56043711783829,5.41224227061581,5.87806973254252,2.50428849642491,4.34554573336707,3.6331785692421,4.25468633143999,2.43203214936298,3.68335373941406,1.21945743762872,4.3178513343098,5.87064695586756,6.32095131673291,1.00698357566184,12.8797763201838,12.7361172045121
"AASDHPPT",21.2876070561508,13.5759189101498,8.04249593973847,10.8151873249697,13.5547845721105,22.6472231185849,14.294489292615,16.1363342478982,12.8063715853676,8.30365066969602,12.3325196285788,15.9423383278411,14.0024860090185,3.69287707656922,15.4275684954632,14.542646550132,16.0885723078608,3.12382017605736,24.4424516763882,25.4012842084003
"AASS",5.76508894209801,3.21739964633495,4.06412968642876,1.35176696462165,4.77623557251921,8.14414337021479,13.6395104025926,6.14439640778083,6.83811718424708,6.31808040859441,13.4591138583381,2.89353484866924,4.80738425853906,0.338534424832099,2.10212160708524,9.22691706065167,15.8812424957378,0.978422930387224,23.5935001906356,24.7943063027284
"AATBC",2.45462677016415,3.01008011850423,0.631652079055167,1.08085499030698,1.07070570169077,0.925977667117795,0.761454300687619,0.172367917181797,1.38878588848345,0.726613847647769,0.930217406284616,2.38537273681617,3.40632523984226,0.176261725325804,1.22976749230541,0.913822858369427,0.657293012148024,0.764140222492501,8.06265118413991,20.9129092149777
