"Transcript_id","H1","L1","H2","L2","H3","L3","H4","L4","H5","L5","hgnc_symbol","ensembl_gene_id","transcript_biotype"
"ENST00000534961.5",0.044046,0.19643,0.625478,0.11013,0.006391,0.882836,0.00038,1.074838,0.003072,0.850111,"RNF170","ENSG00000120925","protein_coding"
"ENST00000534962.1",0,0.034152,0.004001,0.064056,0.126425,0.107172,0,0.025343,0.129857,0,"DPPA4P3","ENSG00000256189","processed_pseudogene"
"ENST00000534968.5",0.001228,0.085553,0.016458,0.000254,0.657883,0.000107,0.00333,0.000296,0.021213,0.001184,"CD84","ENSG00000066294","protein_coding"
"ENST00000534970.5",0,0,0,0,0,0,0,0,0,0,"DLGAP1","ENSG00000170579","protein_coding"
"ENST00000534985.1",2.175714,4.890128,1.724753,2.779068,1.756379,1.094339,1.087234,1.220235,1.235569,0.995312,"","ENSG00000256399","processed_pseudogene"
"ENST00000534989.1",0.072782,0.070084,0.022204,0.062446,0.011321,0.051117,0.0768,0.035593,0.044646,0.340646,"COG2","ENSG00000135775","protein_coding"
"ENST00000534992.5",0,0,0,0,0,0,0,0,0,0,"FANCA","ENSG00000187741","protein_coding"
"ENST00000534993.5",0.003954,0,0.08969,0.230502,0.089841,0.026165,0,0,0.062307,0,"DHRS4L2","ENSG00000187630","protein_coding"
"ENST00000534995.1",0.276077,0.011275,0.206203,0.074785,0.070972,0.07984,0.114486,0.052763,0.063915,0.167848,"KNTC1","ENSG00000184445","protein_coding"
"ENST00000535007.5",0,0,0.192632,0,0,0,0,0,0.189175,0.221353,"STK25","ENSG00000115694","protein_coding"
"ENST00000535010.5",0.001209,0.14077,0.242586,0.781734,0.004152,0.260662,0.123744,2.106019,0.231101,0.006404,"SH3GLB1","ENSG00000097033","protein_coding"
"ENST00000535011.6",0,0,0.316552,0.26681,0,0,0,1.569334,0.308217,0,"CALU","ENSG00000128595","protein_coding"
"ENST00000535015.5",0.189579,0.162002,0,0.189269,0.160548,0.063023,0.211946,0.175502,0.148769,0.214557,"ADGRD1","ENSG00000111452","protein_coding"
"ENST00000535020.6",3.228211,1.729165,1.989663,2.415439,5.046908,11.380378,7.377494,4.488307,8.180186,5.262417,"NAP1L1","ENSG00000187109","protein_coding"
"ENST00000535040.4",0.538572,0,1.502207,0,1.792195,0,0,0.05203,1.811377,0,"TPBG","ENSG00000146242","protein_coding"
"ENST00000535041.5",0,0.019649,0,0,0,0,0,0,0,0,"LRTM2","ENSG00000166159","protein_coding"
"ENST00000535043.1",0,0,0,0,0,0,0,0,0,0,"GABRA3","ENSG00000011677","protein_coding"
